Sr. No.,Company Name,"Market capitalization as on March 28, 2024(In lakhs)",Rank,Symbol
1133,MSP Steel & Power Limited,"1,17,936.99",1133,MSPL.NS
1134,Lincoln Pharmaceuticals Limited,"1,17,384.22",1134,LINCOLN.NS
1135,Saurashtra Cement Limited,"1,17,359.78",1135,SAURASHCEM.NS
1136,Matrimony.Com Limited,"1,17,056.63",1136,MATRIMONY.NS
1137,Hardwyn India Limited,"1,16,003.09",1137,HARDWYN.NS
1138,GM Breweries Limited,"1,15,879.60",1138,GMBREW.NS
1139,Suraj Estate Developers Limited,"1,15,693.78",1139,SURAJEST.NS
1140,Sical Logistics Limited,"1,15,164.63",1140,SICALLOG.NS
1141,Transindia Real Estate Limited,"1,13,634.18",1141,TREL.NS
1142,PAKKA LIMITED,"1,13,626.66",1142,PAKKA.NS
1143,Heranba Industries Limited,"1,13,498.20",1143,HERANBA.NS
1144,Ram Ratna Wires Limited,"1,12,838.00",1144,RAMRAT.NS
1145,Dhunseri Ventures Limited,"1,12,604.58",1145,DVL.NS
1146,NACL Industries Limited,"1,12,032.66",1146,NACLIND.NS
1147,Rane (Madras) Limited,"1,11,888.77",1147,RML.NS
1148,Nelcast Limited,"1,11,796.54",1148,NELCAST.NS
1149,Kokuyo Camlin Limited,"1,11,337.22",1149,KOKUYOCMLN.NS
1150,Allsec Technologies Limited,"1,11,331.21",1150,ALLSEC.NS
1151,Macpower CNC Machines Limited,"1,10,716.04",1151,MACPOWER.NS
1152,Innovana Thinklabs Limited,"1,10,700.00",1152,INNOVANA.NS
1153,Roto Pumps Limited,"1,10,696.12",1153,ROTO.NS
1154,Sterling Tools Limited,"1,10,432.22",1154,STERTOOLS.NS
1155,Mukka Proteins Limited,"1,09,500.00",1155,MUKKA.NS
1156,TIL Limited,"1,08,861.06",1156,TIL.NS
1157,CSL Finance Limited,"1,08,695.88",1157,CSLFINANCE.NS
1158,GIC Housing Finance Limited,"1,08,456.05",1158,GICHSGFIN.NS
1159,Satia Industries Limited,"1,08,300.00",1159,SATIA.NS
1160,Credo Brands Marketing Limited,"1,07,651.40",1160,MUFTI.NS
1161,Crest Ventures Limited,"1,06,616.38",1161,CREST.NS
1162,Avadh Sugar & Energy Limited,"1,06,307.82",1162,AVADHSUGAR.NS
1163,Windlas Biotech Limited,"1,06,135.13",1163,WINDLAS.NS
1164,Krystal Integrated Services Limited,"1,05,970.27",1164,KRYSTAL.NS
1165,Yuken India Limited,"1,05,943.50",1165,YUKEN.NS
1166,Asian Energy Services Limited,"1,05,818.34",1166,ASIANENE.NS
1167,Sportking India Limited,"1,05,805.97",1167,SPORTKING.NS
1168,Kotyark Industries Limited,"1,05,781.11",1168,KOTYARK.NS
1169,Chaman Lal Setia Exports Limited,"1,05,303.64",1169,CLSEL.NS
1170,Kamdhenu Ventures Limited,"1,05,120.31",1170,KAMOPAINTS.NS
1171,Hubtown Limited,"1,05,115.67",1171,HUBTOWN.NS
1172,Valiant Organics Limited,"1,05,005.79",1172,VALIANTORG.NS
1173,Indo Tech Transformers Limited,"1,04,968.08",1173,INDOTECH.NS
1174,Coffee Day Enterprises Limited,"1,04,886.48",1174,COFFEEDAY.NS
1175,Syncom Formulations (India) Limited,"1,04,810.00",1175,SYNCOMF.NS
1176,Ndr Auto Components Limited,"1,04,809.94",1176,NDRAUTO.NS
1177,Dhanlaxmi Bank Limited,"1,04,367.48",1177,DHANBANK.NS
1178,One Point One Solutions Limited,"1,03,875.52",1178,ONEPOINT.NS
1179,Hind Rectifiers Limited,"1,03,469.83",1179,HIRECT.NS
1180,Kabra Extrusion Technik Limited,"1,02,837.62",1180,KABRAEXTRU.NS
1181,Remus Pharmaceuticals Limited,"1,01,627.43",1181,REMUS.NS
1182,Indo Rama Synthetics (India) Limited,"1,01,442.46",1182,INDORAMA.NS
1183,Gulshan Polyols Limited,"1,01,133.91",1183,GULPOLY.NS
1184,Heubach Colorants India Limited,"1,00,728.97",1184,HEUBACHIND.NS
1185,Oriental Aromatics Limited,"1,00,304.48",1185,OAL.NS
1186,Creative Newtech Limited,"1,00,140.71",1186,CREATIVE.NS
1187,Onward Technologies Limited,"99,671.12",1187,ONWARDTEC.NS
1188,Urja Global Limited,"99,310.69",1188,URJA.NS
1189,PVP Ventures Limited,"99,213.80",1189,PVP.NS
1190,Royal Orchid Hotels Limited,"99,059.88",1190,ROHLTD.NS
1191,BEML Land Assets Limited,"98,530.89",1191,BLAL.NS
1192,Sat Industries Limited,"98,497.04",1192,SATINDLTD.NS
1193,Vimta Labs Limited,"98,404.13",1193,VIMTALABS.NS
1194,ZUARI INDUSTRIES LIMITED,"97,801.41",1194,ZUARIIND.NS
1195,Global Surfaces Limited,"97,796.05",1195,GSLSU.NS
1196,Nahar Spinning Mills Limited,"96,853.37",1196,NAHARSPING.NS
1197,Manali Petrochemicals Limited,"96,663.57",1197,MANALIPETC.NS
1198,Sastasundar Ventures Limited,"96,640.30",1198,SASTASUNDR.NS
1199,D-Link (India) Limited,"96,431.17",1199,DLINKINDIA.NS
1200,Renaissance Global Limited,"95,987.23",1200,RGL.NS
1201,Focus Lighting and Fixtures Limited,"95,344.61",1201,FOCUS.NS
1202,Gandhi Special Tubes Limited,"94,654.70",1202,GANDHITUBE.NS
1203,Kellton Tech Solutions Limited,"94,429.02",1203,KELLTONTEC.NS
1204,Platinum Industries Limited,"94,141.23",1204,PLATIND.NS
1205,Kernex Microsystems (India) Limited,"93,852.76",1205,KERNEX.NS
1206,Ramco Systems Limited,"93,730.16",1206,RAMCOSYS.NS
1207,Walchandnagar Industries Limited,"93,084.94",1207,WALCHANNAG.NS
1208,Chemfab Alkalis Limited,"92,785.90",1208,CHEMFAB.NS
1209,Uniphos Enterprises Limited,"92,774.16",1209,UNIENTER.NS
1210,Sarveshwar Foods Limited,"92,498.11",1210,SARVESHWAR.NS
1211,Bodal Chemicals Limited,"92,392.44",1211,BODALCHEM.NS
1212,SEMAC CONSULTANTS LIMITED,"92,075.76",1212,SEMAC.NS
1213,Visaka Industries Limited,"91,934.66",1213,VISAKAIND.NS
1214,Likhitha Infrastructure Limited,"91,681.80",1214,LIKHITHA.NS
1215,Wonder Electricals Limited,"91,426.96",1215,WEL.NS
1216,Automotive Stampings and Assemblies Limited,"91,053.71",1216,ASAL.NS
1217,Amines & Plasticizers Limited,"91,003.08",1217,AMNPLST.NS
1218,GPT Infraprojects Limited,"90,922.84",1218,GPTINFRA.NS
1219,NINtec Systems Limited,"90,873.79",1219,NINSYS.NS
1220,Shivalik Rasayan Limited,"89,923.35",1220,SHIVALIK.NS
1221,Vardhman Holdings Limited,"89,549.38",1221,VHL.NS
1222,Owais Metal And Mineral Processing Limited,"89,366.49",1222,OWAIS.NS
1223,Tracxn Technologies Limited,"88,993.58",1223,TRACXN.NS
1224,Excel Industries Limited,"88,950.22",1224,EXCELINDUS.NS
1225,InfoBeans Technologies Limited,"88,944.40",1225,INFOBEAN.NS
1226,The Sandesh Limited,"88,796.88",1226,SANDESH.NS
1227,Eimco Elecon (India) Limited,"88,149.58",1227,EIMCOELECO.NS
1228,Century Enka Limited,"87,872.14",1228,CENTENKA.NS
1229,HP Adhesives Limited,"87,694.43",1229,HPAL.NS
1230,MIC Electronics Limited,"87,471.31",1230,MICEL.NS
1231,Faze Three Limited,"87,341.69",1231,FAZE3Q.NS
1232,Orient Paper & Industries Limited,"87,314.47",1232,ORIENTPPR.NS
1233,Max India Limited,"87,248.12",1233,MAXIND.NS
1234,GRP Limited,"86,864.64",1234,GRPLTD.NS
1235,De Nora India Limited,"86,259.99",1235,DENORA.NS
1236,Associated Alcohols & Breweries Ltd.,"85,351.90",1236,ASALCBR.NS
1237,GKW Limited,"84,831.70",1237,GKWLIMITED.NS
1238,VLS Finance Limited,"84,780.93",1238,VLSFINANCE.NS
1239,Speciality Restaurants Limited,"84,724.02",1239,SPECIALITY.NS
1240,Chemcon Speciality Chemicals Limited,"84,616.92",1240,CHEMCON.NS
1241,Sree Rayalaseema Hi-Strength Hypo Limited,"84,502.41",1241,SRHHYPOLTD.NS
1242,Prakash Pipes Limited,"84,455.71",1242,PPL.NS
1243,NCL Industries Limited,"83,590.20",1243,NCLIND.NS
1244,Hexa Tradex Limited,"83,309.01",1244,HEXATRADEX.NS
1245,Deccan Cements Limited,"82,784.33",1245,DECCANCE.NS
1246,Sutlej Textiles and Industries Limited,"82,569.62",1246,SUTLEJTEX.NS
1247,Spencer's Retail Limited,"82,296.71",1247,SPENCERS.NS
1248,Basilic Fly Studio Limited,"82,234.74",1248,BASILIC.NS
1249,Silver Touch Technologies Limited,"81,957.30",1249,SILVERTUC.NS
1250,S Chand And Company Limited,"81,915.62",1250,SCHAND.NS
1251,AGS Transact Technologies Limited,"81,825.67",1251,AGSTRA.NS
1252,Dynamic Cables Limited,"81,726.98",1252,DYCL.NS
1253,Alpex Solar Limited,"81,325.11",1253,ALPEXSOLAR.NS
1254,Radiant Cash Management Services Limited,"81,258.07",1254,RADIANTCMS.NS
1255,Ambika Cotton Mills Limited,"80,968.68",1255,AMBIKCO.NS
1256,Bajaj Healthcare Limited,"80,670.12",1256,BAJAJHCARE.NS
1257,RSWM Limited,"80,567.43",1257,RSWM.NS
1258,Sakar Healthcare Limited,"80,104.92",1258,SAKAR.NS
1259,Munjal Auto Industries Limited,"79,500.00",1259,MUNJALAU.NS
1260,Hindustan Media Ventures Limited,"79,123.24",1260,HMVL.NS
1261,Eldeco Housing And Industries Limited,"78,988.49",1261,ELDEHSG.NS
1262,Indo Amines Limited,"78,827.78",1262,INDOAMIN.NS
1263,Vasa Denticity Limited,"78,527.47",1263,DENTALKART.NS
1264,Vikas Lifecare Limited,"78,335.68",1264,VIKASLIFE.NS
1265,Rushil Decor Limited,"77,329.19",1265,RUSHIL.NS
1266,Allied Digital Services Limited,"76,942.79",1266,ADSL.NS
1267,Brand Concepts Limited,"76,716.02",1267,BCONCEPTS.NS
1268,Dhampur Bio Organics Limited,"76,511.70",1268,DBOL.NS
1269,Linc Limited,"76,473.32",1269,LINC.NS
1270,Radhika Jeweltech Limited,"76,287.00",1270,RADHIKAJWE.NS
1271,Dharmaj Crop Guard Limited,"75,672.15",1271,DHARMAJ.NS
1272,Magadh Sugar & Energy Limited,"75,650.92",1272,MAGADSUGAR.NS
1273,Cheviot Company Limited,"75,520.81",1273,CHEVIOT.NS
1274,Vinyas Innovative Technologies Limited,"75,508.36",1274,VINYAS.NS
1275,Balaji Telefilms Limited,"74,979.14",1275,BALAJITELE.NS
1276,Oswal Greentech Limited,"74,731.47",1276,OSWALGREEN.NS
1277,Ice Make Refrigeration Limited,"74,669.71",1277,ICEMAKE.NS
1278,GFL Limited,"74,478.30",1278,GFLLIMITED.NS
1279,Panacea Biotec Limited,"74,450.28",1279,PANACEABIO.NS
1280,The State Trading Corporation of India Limited,"74,430.00",1280,STCINDIA.NS
1281,TruCap Finance Limited,"74,289.55",1281,TRU.NS
1282,The Ugar Sugar Works Limited,"74,025.00",1282,UGARSUGAR.NS
1283,Maan Aluminium Limited,"73,988.09",1283,MAANALU.NS
1284,N R Agarwal Industries Limited,"73,556.55",1284,NRAIL.NS
1285,Jagsonpal Pharmaceuticals Limited,"72,850.34",1285,JAGSNPHARM.NS
1286,GHCL Textiles Limited,"72,454.03",1286,GHCLTEXTIL.NS
1287,Asian Granito India Limited,"72,434.95",1287,ASIANTILES.NS
1288,Davangere Sugar Company Limited,"72,303.91",1288,DAVANGERE.NS
1289,Pondy Oxides & Chemicals Limited,"72,166.63",1289,POCL.NS
1290,Kothari Petrochemicals Limited,"71,939.72",1290,KOTHARIPET.NS
1291,Consolidated Finvest & Holdings Limited,"71,845.35",1291,CONSOFINVT.NS
1292,Andhra Cements Limited,"71,663.84",1292,ACL.NS
1293,Zuari Agro Chemicals Limited,"71,246.26",1293,ZUARI.NS
1294,GRM Overseas Limited,"71,190.00",1294,GRMOVER.NS
1295,Bedmutha Industries Limited,"71,125.73",1295,BEDMUTHA.NS
1296,Sukhjit Starch & Chemicals Limited,"70,970.75",1296,SUKHJITS.NS
1297,Ester Industries Limited,"70,843.00",1297,ESTER.NS
1298,W S Industries (I) Limited,"70,517.38",1298,WSI.NS
1299,Tamilnadu PetroProducts Limited,"70,177.75",1299,TNPETRO.NS
1300,Foods & Inns Limited,"70,000.44",1300,FOODSIN.NS
1301,The Investment Trust Of India Limited,"69,769.48",1301,THEINVEST.NS
1302,Dhunseri Investments Limited,"69,687.70",1302,DHUNINV.NS
1303,Tribhovandas Bhimji Zaveri Limited,"69,433.21",1303,TBZ.NS
1304,Emkay Taps and Cutting Tools Limited,"69,363.45",1304,EMKAYTOOLS.NS
1305,Kirloskar Electric Company Limited,"69,336.29",1305,KECL.NS
1306,Emami Paper Mills Limited,"69,059.67",1306,EMAMIPAP.NS
1307,Electrotherm (India) Limited,"68,683.77",1307,ELECTHERM.NS
1308,Lokesh Machines Limited,"68,558.28",1308,LOKESHMACH.NS
1309,Selan Exploration Technology Limited,"68,438.00",1309,SELAN.NS
1310,AVG Logistics Limited,"68,296.57",1310,AVG.NS
1311,Sahana System Limited,"67,866.24",1311,SAHANA.NS
1312,DMCC SPECIALITY CHEMICALS LIMITED,"67,674.51",1312,DMCC.NS
1313,Nectar Lifesciences Limited,"67,614.68",1313,NECLIFE.NS
1314,Birla Cable Limited,"67,605.00",1314,BIRLACABLE.NS
1315,Goa Carbon Limited,"67,530.19",1315,GOACARBON.NS
1316,J.G.Chemicals Limited,"67,497.99",1316,JGCHEM.NS
1317,Annapurna Swadisht Limited,"67,193.80",1317,ANNAPURNA.NS
1318,3i Infotech Limited,"66,707.50",1318,3IINFOLTD.NS
1319,Wealth First Portfolio Managers Limited,"66,652.35",1319,WEALTH.NS
1320,Parsvnath Developers Limited,"66,582.72",1320,PARSVNATH.NS
1321,Advani Hotels & Resorts (India) Limited,"66,463.28",1321,ADVANIHOTR.NS
1322,Kriti Industries (India) Limited,"66,245.50",1322,KRITI.NS
1323,Elin Electronics Limited,"66,170.91",1323,ELIN.NS
1324,D P Wires Limited,"66,002.51",1324,DPWIRES.NS
1325,Megasoft Limited,"65,987.30",1325,MEGASOFT.NS
1326,Oriental Carbon & Chemicals Limited,"65,714.83",1326,OCCL.NS
1327,Munjal Showa Limited,"65,111.86",1327,MUNJALSHOW.NS
1328,Zee Media Corporation Limited,"65,044.58",1328,ZEEMEDIA.NS
1329,Solex Energy Limited,"64,800.00",1329,SOLEX.NS
1330,MMP Industries Limited,"64,675.05",1330,MMP.NS
1331,Chembond Chemicals Ltd,"64,551.78",1331,CHEMBOND.NS
1332,Jayant Agro Organics Limited,"64,515.00",1332,JAYAGROGN.NS
1333,Jindal Poly Investment and Finance Company Limited,"64,327.75",1333,JPOLYINVST.NS
1334,Manaksia Limited,"64,223.37",1334,MANAKSIA.NS
1335,Sreeleathers Limited,"64,000.45",1335,SREEL.NS
1336,OnMobile Global Limited,"63,781.68",1336,ONMOBILE.NS
1337,SBC Exports Limited,"63,650.73",1337,SBC.NS
1338,SPML Infra Limited,"63,450.90",1338,SPMLINFRA.NS
1339,Bhageria Industries Limited,"63,262.24",1339,BHAGERIA.NS
1340,Valiant Laboratories Limited,"63,024.23",1340,VALIANTLAB.NS
1341,Menon Bearings Limited,"62,848.86",1341,MENONBE.NS
1342,Kilitch Drugs (India) Limited,"62,544.14",1342,KILITCH.NS
1343,Pavna Industries Limited,"62,524.05",1343,PAVNAIND.NS
1344,Khaitan Chemicals & Fertilizers Limited,"62,412.55",1344,KHAICHEM.NS
1345,FCS Software Solutions Limited,"62,398.69",1345,FCSSOFT.NS
1346,Mallcom (India) Limited,"62,346.96",1346,MALLCOM.NS
1347,Nupur Recyclers Limited,"62,256.47",1347,NRL.NS
1348,Phantom Digital Effects Limited,"61,805.73",1348,PHANTOMFX.NS
1349,Apex Frozen Foods Limited,"61,718.75",1349,APEX.NS
1350,Kamat Hotels (I) Limited,"61,582.85",1350,KAMATHOTEL.NS
1351,HT Media Limited,"61,561.93",1351,HTMEDIA.NS
1352,The Ruby Mills Limited,"61,512.88",1352,RUBYMILLS.NS
1353,Albert David Limited,"61,491.82",1353,ALBERTDAVD.NS
1354,Kody Technolab Limited,"60,585.97",1354,KODYTECH.NS
1355,Laxmi Goldorna House Limited,"60,403.28",1355,LGHL.NS
1356,Prime Securities Limited,"60,402.57",1356,PRIMESECU.NS
1357,RBZ Jewellers Limited,"60,300.00",1357,RBZJEWEL.NS
1358,Plastiblends India Limited,"60,281.95",1358,PLASTIBLEN.NS
1359,Iris Clothings Limited,"60,280.70",1359,IRISDOREME.NS
1360,Pudumjee Paper Products Limited,"59,676.08",1360,PDMJEPAPER.NS
1361,Ind-Swift Laboratories Limited,"59,175.49",1361,INDSWFTLAB.NS
1362,Mirza International Limited,"59,150.41",1362,MIRZAINT.NS
1363,Stel Holdings Limited,"59,066.52",1363,STEL.NS
1364,Sakuma Exports Limited,"58,874.42",1364,SAKUMA.NS
1365,Simplex Infrastructures Limited,"58,599.96",1365,SIMPLEXINF.NS
1366,Arrow Greentech Limited,"58,314.88",1366,ARROWGREEN.NS
1367,Vinyl Chemicals (India) Limited,"57,936.10",1367,VINYLINDIA.NS
1368,Oswal Agro Mills Limited,"57,519.60",1368,OSWALAGRO.NS
1369,Hindustan Composites Limited,"57,480.95",1369,HINDCOMPOS.NS
1370,Arihant Capital Markets Limited,"57,157.93",1370,ARIHANTCAP.NS
1371,MBL Infrastructure Limited,"57,143.65",1371,MBLINFRA.NS
1372,DEEP ENERGY RESOURCES LIMITED,"57,056.00",1372,DEEPENR.NS
1373,Oricon Enterprises Limited,"57,008.32",1373,ORICONENT.NS
1374,Shreyas Shipping & Logistics Limited,"56,946.86",1374,SHREYAS.NS
1375,SKM Egg Products Export (India) Limited,"56,833.31",1375,SKMEGGPROD.NS
1376,ORIENT CERATECH LIMITED,"56,828.62",1376,ORIENTCER.NS
1377,DiGiSPICE Technologies Limited,"56,778.55",1377,DIGISPICE.NS
1378,Zodiac Energy Limited,"56,653.36",1378,ZODIAC.NS
1379,Krishival Foods Limited,"55,960.80",1379,KRISHIVAL.NS
1380,Jet Airways (India) Limited,"55,946.71",1380,JETAIRWAYS.NS
1381,Ratnaveer Precision Engineering Limited,"55,943.64",1381,RATNAVEER.NS
1382,Jindal Photo Limited,"55,902.75",1382,JINDALPHOT.NS
1383,Music Broadcast Limited,"55,828.23",1383,RADIOCITY.NS
1384,HCL Infosystems Limited,"55,636.48",1384,HCL-INSYS.NS
1385,Rane Brake Lining Limited,"55,129.44",1385,RBL.NS
1386,Khadim India Limited,"55,040.93",1386,KHADIM.NS
1387,Axita Cotton Limited,"54,523.92",1387,AXITA.NS
1388,Bartronics India Limited,"54,519.24",1388,ASMS.NS
1389,Aditya Birla Money Limited,"54,361.85",1389,BIRLAMONEY.NS
1390,Vishnusurya Projects and Infra Limited,"54,116.67",1390,VISHNUINFR.NS
1391,VL E-Governance & IT Solutions Limited,"53,717.32",1391,VLEGOV.NS
1392,B&B Triplewall Containers Limited,"53,595.87",1392,BBTCL.NS
1393,Nagarjuna Fertilizers and Chemicals Limited,"53,526.82",1393,NAGAFERT.NS
1394,GeeCee Ventures Limited,"53,439.92",1394,GEECEE.NS
1395,Race Eco Chain Limited,"53,421.08",1395,RACE.NS
1396,Ritco Logistics Limited,"53,407.98",1396,RITCO.NS
1397,Tantia Constructions Limited,"53,397.50",1397,TCLCONS.NS
1398,BALAXI PHARMACEUTICALS LIMITED,"53,300.99",1398,BALAXI.NS
1399,Pyramid Technoplast Limited,"53,282.78",1399,PYRAMID.NS
1400,Remsons Industries Limited,"52,734.29",1400,REMSONSIND.NS
1401,UFO Moviez India Limited,"51,872.43",1401,UFO.NS
1402,Accent Microcell Limited,"51,713.17",1402,ACCENTMIC.NS
1403,PTL Enterprises Limited,"51,693.22",1403,PTL.NS
1404,Indo Borax & Chemicals Limited,"51,648.86",1404,INDOBORAX.NS
1405,Mold-Tek Technologies Limited,"51,600.76",1405,MOLDTECH.NS
1406,Mazda Limited,"51,584.40",1406,MAZDA.NS
1407,Mindteck (India) Limited,"51,542.67",1407,MINDTECK.NS
1408,Cool Caps Industries Limited,"51,442.00",1408,COOLCAPS.NS
1409,All E Technologies Limited,"50,778.26",1409,ALLETEC.NS
1410,20 Microns Limited,"50,706.70",1410,20MICRONS.NS
1411,Vikas EcoTech Limited,"50,674.99",1411,VIKASECO.NS
1412,Orient Bell Limited,"50,647.71",1412,ORIENTBELL.NS
1413,Donear Industries Limited,"50,622.00",1413,DONEAR.NS
1414,Career Point Limited,"50,467.21",1414,CAREERP.NS
1415,International Conveyors Limited,"50,386.31",1415,INTLCONV.NS
1416,Shree Pushkar Chemicals & Fertilisers Limited,"50,206.08",1416,SHREEPUSHK.NS
1417,Pritika Auto Industries Limited,"50,199.24",1417,PRITIKAUTO.NS
1418,Diamines & Chemicals Limited,"49,590.15",1418,DIAMINESQ.NS
1419,SIL Investments Limited,"49,583.33",1419,SILINV.NS
1420,Banswara Syntex Limited,"49,345.55",1420,BANSWRAS.NS
1421,Sadbhav Engineering Limited,"49,069.25",1421,SADBHAV.NS
1422,Anjani Portland Cement Limited,"49,041.17",1422,APCL.NS
1423,Nahar Industrial Enterprises Limited,"49,038.33",1423,NAHARINDUS.NS
1424,DUDIGITAL GLOBAL LIMITED,"48,818.59",1424,DUGLOBAL.NS
1425,Geekay Wires Limited,"48,732.45",1425,GEEKAYWIRE.NS
1426,Synergy Green Industries Limited,"48,691.98",1426,SGIL.NS
1427,Shree Tirupati Balajee FIBC Limited,"48,624.19",1427,TIRUPATI.NS
1428,Medicamen Biotech Limited,"48,567.57",1428,MEDICAMEQ.NS
1429,Megatherm Induction Limited,"48,543.14",1429,MEGATHERM.NS
1430,TPL Plastech Limited,"48,439.86",1430,TPLPLASTEH.NS
1431,R. S. Software (India) Limited,"48,421.62",1431,RSSOFTWARE.NS
1432,Rbm Infracon Limited,"48,375.37",1432,RBMINFRA.NS
1433,Wanbury Limited,"47,890.29",1433,WANBURY.NS
1434,Genus Paper & Boards Limited,"47,825.42",1434,GENUSPAPER.NS
1435,Kanoria Chemicals & Industries Limited,"47,691.27",1435,KANORICHEM.NS
1436,Vibhor Steel Tubes Limited,"47,519.88",1436,VSTL.NS
1437,Liberty Shoes Limited,"47,141.16",1437,LIBERTSHOE.NS
1438,Global Education Limited,"46,859.92",1438,GLOBAL.NS
1439,Bharat Road Network Limited,"46,844.10",1439,BRNL.NS
1440,Nova Agritech Limited,"46,768.77",1440,NOVAAGRI.NS
1441,TVS Electronics Limited,"46,737.70",1441,TVSELECT.NS
1442,Vinsys IT Services India Limited,"46,668.47",1442,VINSYS.NS
1443,Nandan Denim Limited,"46,559.54",1443,NDL.NS
1444,Kriti Nutrients Limited,"46,420.91",1444,KRITINUT.NS
1445,Nahar Capital and Financial Services Limited,"46,395.26",1445,NAHARCAP.NS
1446,CL Educate Limited,"46,295.87",1446,CLEDUCATE.NS
1447,Zim Laboratories Limited,"46,265.16",1447,ZIMLAB.NS
1448,Shivam Autotech Limited,"45,405.56",1448,SHIVAMAUTO.NS
1449,Systango Technologies Limited,"45,326.59",1449,SYSTANGO.NS
1450,United Drilling Tools Limited,"45,296.27",1450,UNIDT.NS
1451,Sarla Performance Fibers Limited,"44,799.36",1451,SARLAPOLY.NS
1452,Wise Travel India Limited,"44,659.10",1452,WTICAB.NS
1453,Kritika Wires Limited,"44,601.90",1453,KRITIKA.NS
1454,TRF Limited,"44,578.87",1454,TRF.NS
1455,Autoline Industries Limited,"44,534.90",1455,AUTOIND.NS
1456,Muthoot Capital Services Limited,"44,161.63",1456,MUTHOOTCAP.NS
1457,Purv Flexipack Limited,"44,053.28",1457,PURVFLEXI.NS
1458,N. B. I. Industrial Finance Company Limited,"43,968.23",1458,NBIFIN.NS
1459,AYM Syntex Limited,"43,947.94",1459,AYMSYNTEX.NS
1460,MIRC Electronics Limited,"43,881.00",1460,MIRCELECTR.NS
1461,Nahar Poly Films Limited,"43,877.27",1461,NAHARPOLY.NS
1462,Industrial Investment Trust Limited,"43,829.72",1462,IITL.NS
1463,AION-TECH SOLUTIONS LIMITED,"43,694.44",1463,GOLDTECH.NS
1464,Venus Remedies Limited,"43,556.33",1464,VENUSREM.NS
1465,Krishna Defence and Allied Industries Limited,"43,403.97",1465,KRISHNADEF.NS
1466,Windsor Machines Limited,"43,374.44",1466,WINDMACHIN.NS
1467,Australian Premium Solar (India) Limited,"43,358.91",1467,APS.NS
1468,Apollo Sindoori Hotels Limited,"43,343.47",1468,APOLSINHOT.NS
1469,BPL Limited,"42,951.73",1469,BPL.NS
1470,Cybertech Systems And Software Limited,"42,941.27",1470,CYBERTECH.NS
1471,Kothari Sugars And Chemicals Limited,"42,646.17",1471,KOTARISUG.NS
1472,IL&FS Engineering and Construction Company Limited,"42,548.79",1472,IL&FSENGG.NS
1473,Shiv Aum Steels Limited,"42,433.25",1473,SHIVAUM.NS
1474,Essar Shipping Limited,"42,430.09",1474,ESSARSHPNG.NS
1475,Cellecor Gadgets Limited,"42,103.30",1475,CELLECOR.NS
1476,Prozone Realty Limited,"42,042.09",1476,PROZONER.NS
1477,Aarti Surfactants Limited,"41,915.61",1477,AARTISURF.NS
1478,Lorenzini Apparels Limited,"41,915.20",1478,LAL.NS
1479,Cineline India Limited,"41,753.65",1479,CINELINE.NS
1480,Trident Techlabs Limited,"41,474.55",1480,TECHLABS.NS
1481,Felix Industries Limited,"41,435.19",1481,FELIX.NS
1482,Indo-National Limited,"41,370.00",1482,NIPPOBATRY.NS
1483,Premier Polyfilm Limited,"41,006.68",1483,PREMIERPOL.NS
1484,Vardhman Acrylics Limited,"40,985.51",1484,VARDHACRLC.NS
1485,R.P.P. Infra Projects Limited,"40,843.28",1485,RPPINFRA.NS
1486,Hi-Green Carbon Limited,"40,833.66",1486,HIGREEN.NS
1487,Surani Steel Tubes Limited,"40,660.82",1487,SURANI.NS
1488,Nila Infrastructures Limited,"40,570.59",1488,NILAINFRA.NS
1489,Kaya Limited,"40,492.15",1489,KAYA.NS
1490,S J Logistics (India) Limited,"40,444.14",1490,SJLOGISTIC.NS
1491,Crayons Advertising Limited,"40,248.43",1491,CRAYONS.NS
1492,Nitco Limited,"40,205.09",1492,NITCO.NS
1493,Euro Panel Products Limited,"40,082.00",1493,EUROBOND.NS
1494,Medico Remedies Limited,"39,915.30",1494,MEDICO.NS
1495,Alankit Limited,"39,859.06",1495,ALANKIT.NS
1496,Emami Realty Limited,"39,755.01",1496,EMAMIREAL.NS
1497,Saakshi Medtech and Panels Limited,"39,602.41",1497,SAAKSHI.NS
1498,Sejal Glass Limited,"39,253.65",1498,SEJALLTD.NS
1499,Shemaroo Entertainment Limited,"38,906.45",1499,SHEMAROO.NS
1500,BEW Engineering Limited,"38,780.97",1500,BEWLTD.NS
1501,IFB Agro Industries Limited,"38,718.95",1501,IFBAGRO.NS
1502,DIC India Limited,"38,583.83",1502,DICIND.NS
1503,Precot Limited,"38,520.00",1503,PRECOT.NS
1504,Asahi Songwon Colors Limited,"38,255.56",1504,ASAHISONG.NS
1505,Orbit Exports Limited,"38,170.56",1505,ORBTEXP.NS
1506,MODISON LIMITED,"37,771.80",1506,MODISONLTD.NS
1507,Aurum PropTech Limited,"37,759.51",1507,AURUM.NS
1508,Kore Digital Limited,"37,757.28",1508,KDL.NS
1509,Exxaro Tiles Limited,"37,582.50",1509,EXXARO.NS
1510,Karnika Industries Limited,"37,409.29",1510,KARNIKA.NS
1511,Sahyadri Industries Limited,"37,277.62",1511,SAHYADRI.NS
1512,SKP Bearing Industries Limited,"37,267.00",1512,SKP.NS
1513,KCP Sugar and Industries Corporation Limited,"37,133.60",1513,KCPSUGIND.NS
