Sr. No.,Company Name,"Market capitalization as on March 28, 2024(In lakhs)",Rank,Symbol
868,Exicom Tele-Systems Limited,"2,38,447.15",868,EXICOM.NS
869,Pearl Global Industries Limited,"2,38,344.42",869,PGIL.NS
870,Manorama Industries Limited,"2,37,412.82",870,MANORAMA.NS
871,Somany Ceramics Limited,"2,36,734.40",871,SOMANYCERA.NS
872,Kingfa Science & Technology (India) Limited,"2,36,711.07",872,KINGFA.NS
873,Fino Payments Bank Limited,"2,36,578.26",873,FINOPB.NS
874,Uniparts India Limited,"2,36,455.76",874,UNIPARTS.NS
875,IndoStar Capital Finance Limited,"2,36,053.66",875,INDOSTAR.NS
876,Divgi Torqtransfer Systems Limited,"2,35,457.95",876,DIVGIITTS.NS
877,Hindustan Oil Exploration Company Limited,"2,35,086.97",877,HINDOILEXP.NS
878,SEPC Limited,"2,34,685.79",878,SEPC.NS
879,India Glycols Limited,"2,34,394.04",879,INDIAGLYCO.NS
880,India Pesticides Limited,"2,34,012.25",880,IPL.NS
881,Genesys International Corporation Limited,"2,33,863.08",881,GENESYS.NS
882,Sanghi Industries Limited,"2,33,397.54",882,SANGHIIND.NS
883,Bombay Super Hybrid Seeds Limited,"2,33,380.51",883,BSHSL.NS
884,Satin Creditcare Network Limited,"2,32,154.73",884,SATIN.NS
885,AXISCADES Technologies Limited,"2,31,107.41",885,AXISCADES.NS
886,Artemis Medicare Services Limited,"2,30,759.06",886,ARTEMISMED.NS
887,Sasken Technologies Limited,"2,30,632.19",887,SASKEN.NS
888,EIH Associated Hotels Limited,"2,30,506.77",888,EIHAHOTELS.NS
889,Dhani Services Limited,"2,29,530.29",889,DHANI.NS
890,Precision Wires India Limited,"2,29,039.52",890,PRECWIRE.NS
891,Vidhi Specialty Food Ingredients Limited,"2,28,448.43",891,VIDHIING.NS
892,Apcotex Industries Limited,"2,27,158.69",892,APCOTEXIND.NS
893,Huhtamaki India Limited,"2,25,923.87",893,HUHTAMAKI.NS
894,Lumax Industries Limited,"2,25,439.25",894,LUMAXIND.NS
895,GOCL Corporation Limited,"2,25,356.54",895,GOCLCORP.NS
896,Wendt (India) Limited,"2,24,676.00",896,WENDT.NS
897,Den Networks Limited,"2,24,533.82",897,DEN.NS
898,Yatra Online Limited,"2,24,468.61",898,YATRA.NS
899,Honda India Power Products Limited,"2,24,450.95",899,HONDAPOWER.NS
900,KCP Limited,"2,24,064.98",900,KCP.NS
901,EMS Limited,"2,23,455.97",901,EMSLIMITED.NS
902,Jagran Prakashan Limited,"2,23,422.11",902,JAGRAN.NS
903,Sangam (India) Limited,"2,22,542.01",903,SANGAMIND.NS
904,Bhansali Engineering Polymers Limited,"2,22,355.03",904,BEPL.NS
905,Capacit'e Infraprojects Limited,"2,21,535.69",905,CAPACITE.NS
906,Network People Services Technologies Limited,"2,20,738.69",906,NPST.NS
907,Suven Life Sciences Limited,"2,18,073.72",907,SUVEN.NS
908,Man Industries (India) Limited,"2,18,023.83",908,MANINDS.NS
909,Prataap Snacks Limited,"2,17,761.45",909,DIAMONDYD.NS
910,Centum Electronics Limited,"2,17,009.01",910,CENTUM.NS
911,Venky's (India) Limited,"2,16,839.30",911,VENKEYS.NS
912,IKIO Lighting Limited,"2,16,617.80",912,IKIO.NS
913,TCNS Clothing Co. Limited,"2,16,426.73",913,TCNSBRANDS.NS
914,Optiemus Infracom Limited,"2,15,887.91",914,OPTIEMUS.NS
915,Morepen Laboratories Limited,"2,14,946.44",915,MOREPENLAB.NS
916,Mukand Limited,"2,14,937.15",916,MUKANDLTD.NS
917,Updater Services Limited,"2,14,469.09",917,UDS.NS
918,Alembic Limited,"2,14,284.44",918,ALEMBICLTD.NS
919,Rama Steel Tubes Limited,"2,13,129.72",919,RAMASTEEL.NS
920,IOL Chemicals and Pharmaceuticals Limited,"2,12,191.04",920,IOLCP.NS
921,Madhya Bharat Agro Products Limited,"2,11,399.99",921,MBAPL.NS
922,MM Forgings Limited,"2,11,135.44",922,MMFL.NS
923,Vakrangee Limited,"2,10,313.39",923,VAKRANGEE.NS
924,Tarsons Products Limited,"2,09,419.92",924,TARSONS.NS
925,Astec LifeSciences Limited,"2,09,318.47",925,ASTEC.NS
926,Jeena Sikho Lifecare Limited,"2,09,235.42",926,JSLL.NS
927,Vishnu Chemicals Limited,"2,09,162.81",927,VISHNU.NS
928,TTK Healthcare Limited,"2,08,627.30",928,TTKHLTCARE.NS
929,Mahanagar Telephone Nigam Limited,"2,06,640.00",929,MTNL.NS
930,Rashi Peripherals Limited,"2,06,101.20",930,RPTECH.NS
931,RPSG VENTURES LIMITED,"2,06,012.53",931,RPSGVENT.NS
932,Oriental Hotels Limited,"2,05,924.85",932,ORIENTHOT.NS
933,GTL Infrastructure Limited,"2,04,912.34",933,GTLINFRA.NS
934,Websol Energy System Limited,"2,04,827.40",934,WEBELSOLAR.NS
935,Jash Engineering Limited,"2,03,847.64",935,JASH.NS
936,Ugro Capital Limited,"2,03,758.42",936,UGROCAP.NS
937,Som Distilleries & Breweries Limited,"2,03,658.90",937,SDBL.NS
938,HPL Electric & Power Limited,"2,03,511.04",938,HPL.NS
939,TCPL Packaging Limited,"2,03,280.35",939,TCPLPACK.NS
940,ADF Foods Limited,"2,03,192.72",940,ADFFOODS.NS
941,HMT Limited,"2,02,483.85",941,HMT.NS
942,Meghmani Organics Limited,"2,01,671.17",942,MOL.NS
943,Mufin Green Finance Limited,"2,01,352.06",943,MUFIN.NS
944,Themis Medicare Limited,"2,01,199.70",944,THEMISMED.NS
945,Panama Petrochem Limited,"2,01,141.21",945,PANAMAPET.NS
946,Mangalam Cement Limited,"2,01,005.25",946,MANGLMCEM.NS
947,Signpost India Limited,"2,00,918.55",947,SIGNPOST.NS
948,Hi-Tech Pipes Limited,"2,00,661.44",948,HITECH.NS
949,Mayur Uniquoters Ltd,"2,00,292.00",949,MAYURUNIQ.NS
950,Siyaram Silk Mills Limited,"1,99,129.32",950,SIYSIL.NS
951,Jindal Poly Films Limited,"1,98,593.28",951,JINDALPOLY.NS
952,Krsnaa Diagnostics Limited,"1,98,452.88",952,KRSNAA.NS
953,Deep Industries Limited,"1,97,440.00",953,DEEPINDS.NS
954,PNB Gilts Limited,"1,97,291.11",954,PNBGILTS.NS
955,HIL Limited,"1,96,421.57",955,HIL.NS
956,Rico Auto Industries Limited,"1,96,298.54",956,RICOAUTO.NS
957,BF Investment Limited,"1,96,022.34",957,BFINVEST.NS
958,Gandhar Oil Refinery (India) Limited,"1,95,837.51",958,GANDHAR.NS
959,IFGL Refractories Limited,"1,95,819.60",959,IFGLEXPOR.NS
960,Barbeque Nation Hospitality Limited,"1,94,513.85",960,BARBEQUE.NS
961,ANDHRA PAPER LIMITED,"1,93,182.96",961,ANDHRAPAP.NS
962,IRM Energy Limited,"1,92,693.06",962,IRMENERGY.NS
963,Reliance Industrial Infrastructure Limited,"1,92,592.95",963,RIIL.NS
964,Shriram Properties Limited,"1,92,553.57",964,SHRIRAMPPS.NS
965,Globus Spirits Limited,"1,91,812.40",965,GLOBUSSPR.NS
966,Dredging Corporation of India Limited,"1,90,288.00",966,DREDGECORP.NS
967,Rupa & Company Limited,"1,89,864.89",967,RUPA.NS
968,S.J.S. Enterprises Limited,"1,89,532.96",968,SJS.NS
969,Paramount Communications Limited,"1,88,618.28",969,PARACABLES.NS
970,Expleo Solutions Limited,"1,88,324.27",970,EXPLEOSOL.NS
971,Precision Camshafts Limited,"1,87,644.52",971,PRECAM.NS
972,Bharat Wire Ropes Limited,"1,87,251.51",972,BHARATWIRE.NS
973,GTPL Hathway Limited,"1,87,250.96",973,GTPL.NS
974,Vishnu Prakash R Punglia Limited,"1,86,779.03",974,VPRPL.NS
975,Ador Welding Limited,"1,86,434.98",975,ADORWELD.NS
976,D. P. Abhushan Limited,"1,86,117.31",976,DPABHUSHAN.NS
977,Foseco India Limited,"1,85,980.07",977,FOSECOIND.NS
978,Shipping Corporation of India Land and Assets Limited,"1,85,853.80",978,SCILAL.NS
979,Seshasayee Paper and Boards Limited,"1,85,578.00",979,SESHAPAPER.NS
980,Jindal Drilling And Industries Limited,"1,84,696.58",980,JINDRILL.NS
981,Yasho Industries Limited,"1,84,558.75",981,YASHO.NS
982,Orient Green Power Company Limited,"1,83,395.38",982,GREENPOWER.NS
983,Nitin Spinners Limited,"1,82,630.67",983,NITINSPIN.NS
984,Goldiam International Limited,"1,82,512.86",984,GOLDIAM.NS
985,Pix Transmissions Limited,"1,81,801.04",985,PIXTRANS.NS
986,Sigachi Industries Limited,"1,80,176.63",986,SIGACHI.NS
987,Arman Financial Services Limited,"1,79,568.44",987,ARMANFIN.NS
988,Monarch Networth Capital Limited,"1,79,389.90",988,MONARCH.NS
989,Amrutanjan Health Care Limited,"1,79,376.00",989,AMRUTANJAN.NS
990,Federal-Mogul Goetze (India) Limited.,"1,79,191.09",990,FMGOETZE.NS
991,Pennar Industries Limited,"1,79,073.65",991,PENIND.NS
992,GE Power India Limited,"1,78,522.55",992,GEPIL.NS
993,Popular Vehicles and Services Limited,"1,77,639.50",993,PVSL.NS
994,Jubilant Industries Limited,"1,76,744.63",994,JUBLINDS.NS
995,63 moons technologies limited,"1,75,835.70",995,63MOONS.NS
996,Cantabil Retail India Limited,"1,74,636.23",996,CANTABIL.NS
997,Ramco Industries Limited,"1,74,486.21",997,RAMCOIND.NS
998,Jyoti Structures Limited,"1,73,961.65",998,JYOTISTRUC.NS
999,Vardhman Special Steels Limited,"1,72,776.30",999,VSSL.NS
1000,Hercules Hoists Limited,"1,72,464.00",1000,HERCULES.NS
1001,Nalwa Sons Investments Limited,"1,71,781.54",1001,NSIL.NS
1002,HLV LIMITED,"1,71,737.20",1002,HLVLTD.NS
1003,Suryoday Small Finance Bank Limited,"1,70,819.00",1003,SURYODAY.NS
1004,Tamil Nadu Newsprint & Papers Limited,"1,70,707.94",1004,TNPL.NS
1005,Subex Limited,"1,68,881.88",1005,SUBEXLTD.NS
1006,Rishabh Instruments Limited,"1,68,798.30",1006,RISHABH.NS
1007,Servotech Power Systems Limited,"1,68,317.73",1007,SERVOTECH.NS
1008,Bhagiradha Chemicals & Industries Limited,"1,67,361.79",1008,BHAGCHEM.NS
1009,Agro Tech Foods Limited,"1,66,198.38",1009,ATFL.NS
1010,Omaxe Limited,"1,65,616.44",1010,OMAXE.NS
1011,Everest Industries Limited,"1,64,449.81",1011,EVERESTIND.NS
1012,Premier Explosives Limited,"1,63,616.82",1012,PREMEXPLN.NS
1013,GNA Axles Limited,"1,63,351.69",1013,GNA.NS
1014,Gokul Agro Resources Limited,"1,61,043.58",1014,GOKULAGRO.NS
1015,Talbros Automotive Components Limited,"1,60,801.83",1015,TALBROAUTO.NS
1016,DCM Shriram Industries Limited,"1,59,369.68",1016,DCMSRIND.NS
1017,NELCO Limited,"1,58,393.92",1017,NELCO.NS
1018,Kalyani Investment Company Limited,"1,58,272.90",1018,KICL.NS
1019,Motisons Jewellers Limited,"1,57,562.82",1019,MOTISONS.NS
1020,5Paisa Capital Limited,"1,57,484.55",1020,5PAISA.NS
1021,Kiri Industries Limited,"1,57,109.49",1021,KIRIINDUS.NS
1022,Capital Small Finance Bank Limited,"1,57,108.31",1022,CAPITALSFB.NS
1023,Indraprastha Medical Corporation Limited,"1,57,081.69",1023,INDRAMEDCO.NS
1024,Aeroflex Industries Limited,"1,56,994.93",1024,AEROFLEX.NS
1025,Sirca Paints India Limited,"1,56,013.25",1025,SIRCA.NS
1026,Shankara Building Products Limited,"1,55,474.55",1026,SHANKARA.NS
1027,Fairchem Organics Limited,"1,54,974.78",1027,FAIRCHEMOR.NS
1028,B. L. Kashyap and Sons Limited,"1,54,651.84",1028,BLKASHYAP.NS
1029,Tourism Finance Corporation of India Limited,"1,54,536.89",1029,TFCILTD.NS
1030,Sadhana Nitrochem Limited,"1,54,164.48",1030,SADHNANIQ.NS
1031,India Nippon Electricals Limited,"1,53,972.72",1031,INDNIPPON.NS
1032,GVK Power & Infrastructure Limited,"1,53,915.50",1032,GVKPIL.NS
1033,Rane Holdings Limited,"1,53,871.95",1033,RANEHOLDIN.NS
1034,Geojit Financial Services Limited,"1,53,530.76",1034,GEOJITFSL.NS
1035,DCW Limited,"1,51,709.68",1035,DCW.NS
1036,Suratwwala Business Group Limited,"1,51,583.31",1036,SBGLP.NS
1037,Bcl Industries Limited,"1,51,149.90",1037,BCLIND.NS
1038,SMS Pharmaceuticals Limited,"1,50,892.24",1038,SMSPHARMA.NS
1039,DPSC Limited,"1,49,963.60",1039,DPSCLTD.NS
1040,Camlin Fine Sciences Limited,"1,49,453.42",1040,CAMLINFINE.NS
1041,Control Print Limited,"1,48,722.18",1041,CONTROLPR.NS
1042,Refex Industries Limited,"1,48,534.43",1042,REFEX.NS
1043,Krishana Phoschem Limited,"1,47,778.62",1043,KRISHANA.NS
1044,Everest Kanto Cylinder Limited,"1,47,384.79",1044,EKC.NS
1045,Wheels India Limited,"1,46,097.20",1045,WHEELS.NS
1046,JITF Infralogistics Limited,"1,46,048.46",1046,JITFINFRA.NS
1047,V2 Retail Limited,"1,46,036.20",1047,V2RETAIL.NS
1048,Salzer Electronics Limited,"1,45,736.87",1048,SALZERELEC.NS
1049,Universal Cables Limited,"1,45,681.68",1049,UNIVCABLES.NS
1050,S. P. Apparels Limited,"1,45,662.54",1050,SPAL.NS
1051,EPACK Durable Limited,"1,44,991.32",1051,EPACK.NS
1052,Swelect Energy Systems Limited,"1,44,667.63",1052,SWELECTES.NS
1053,GPT Healthcare Limited,"1,44,662.65",1053,GPTHEALTH.NS
1054,The Hi-Tech Gears Limited,"1,44,488.75",1054,HITECHGEAR.NS
1055,Insecticides (India) Limited,"1,43,934.28",1055,INSECTICID.NS
1056,Peninsula Land Limited,"1,43,700.42",1056,PENINLAND.NS
1057,Shree Digvijay Cement Co.Ltd,"1,43,279.39",1057,SHREDIGCEM.NS
1058,Southern Petrochemicals Industries Corporation  Limited,"1,43,159.16",1058,SPIC.NS
1059,NIIT Limited,"1,42,628.87",1059,NIITLTD.NS
1060,Bigbloc Construction Limited,"1,42,425.20",1060,BIGBLOC.NS
1061,Oriana Power Limited,"1,42,334.89",1061,ORIANA.NS
1062,Spacenet Enterprises India Limited,"1,42,053.83",1062,SPCENET.NS
1063,Shalimar Paints Limited,"1,39,044.27",1063,SHALPAINTS.NS
1064,Kamdhenu Limited,"1,39,014.12",1064,KAMDHENU.NS
1065,Stove Kraft Limited,"1,38,668.65",1065,STOVEKRAFT.NS
1066,R K Swamy Limited,"1,38,408.59",1066,RKSWAMY.NS
1067,Navkar Corporation Limited,"1,38,176.61",1067,NAVKARCORP.NS
1068,Butterfly Gandhimathi Appliances Limited,"1,36,412.03",1068,BUTTERFLY.NS
1069,Dhampur Sugar Mills Limited,"1,35,875.41",1069,DHAMPURSUG.NS
1070,New Delhi Television Limited,"1,35,744.25",1070,NDTV.NS
1071,Arihant Superstructures Limited,"1,35,498.69",1071,ARIHANTSUP.NS
1072,Vascon Engineers Limited,"1,35,446.07",1072,VASCONEQ.NS
1073,Kuantum Papers Limited,"1,34,822.31",1073,KUANTUM.NS
1074,Aptech Limited,"1,34,381.05",1074,APTECHT.NS
1075,Indian Hume Pipe Company Limited,"1,34,180.47",1075,INDIANHUME.NS
1076,Rossell India Limited,"1,33,803.64",1076,ROSSELLIND.NS
1077,Abans Holdings Limited,"1,33,538.66",1077,AHL.NS
1078,Solara Active Pharma Sciences Limited,"1,33,528.15",1078,SOLARA.NS
1079,Summit Securities Limited,"1,33,219.76",1079,SUMMITSEC.NS
1080,Alicon Castalloy Limited,"1,32,737.39",1080,ALICON.NS
1081,Ksolves India Limited,"1,32,662.71",1081,KSOLVES.NS
1082,IG Petrochemicals Limited,"1,32,648.82",1082,IGPL.NS
1083,Steelcast Limited,"1,32,349.36",1083,STEELCAS.NS
1084,Pokarna Limited,"1,32,092.54",1084,POKARNA.NS
1085,Allcargo Terminals Limited,"1,32,061.34",1085,ATL.NS
1086,Atul Auto Limited,"1,32,012.84",1086,ATULAUTO.NS
1087,Ganesh Benzoplast Limited,"1,31,956.61",1087,GANESHBE.NS
1088,COSMO FIRST LIMITED,"1,31,445.51",1088,COSMOFIRST.NS
1089,Antony Waste Handling Cell Limited,"1,31,040.16",1089,AWHCL.NS
1090,Dwarikesh Sugar Industries Limited,"1,30,869.52",1090,DWARKESH.NS
1091,Hariom Pipe Industries Limited,"1,30,816.75",1091,HARIOMPIPE.NS
1092,SMC Global Securities Limited,"1,30,717.95",1092,SMCGLOBAL.NS
1093,Madras Fertilizers Limited,"1,30,492.05",1093,MADRASFERT.NS
1094,Dynacons Systems & Solutions Limited,"1,30,459.48",1094,DSSL.NS
1095,STEEL EXCHANGE INDIA LIMITED,"1,30,246.02",1095,STEELXIND.NS
1096,Monte Carlo Fashions Limited,"1,29,876.01",1096,MONTECARLO.NS
1097,E2E Networks Limited,"1,29,769.50",1097,E2E.NS
1098,Vertoz Advertising Limited,"1,29,707.46",1098,VERTOZ.NS
1099,Giriraj Civil Developers Limited,"1,29,374.02",1099,GIRIRAJ.NS
1100,NGL Fine-Chem Limited,"1,29,367.82",1100,NGLFINE.NS
1101,Igarashi Motors India Limited,"1,29,142.12",1101,IGARASHI.NS
1102,Jay Bharat Maruti Limited,"1,27,951.50",1102,JAYBARMARU.NS
1103,AVT Natural Products Limited,"1,27,918.56",1103,AVTNPL.NS
1104,Sky Gold Limited,"1,26,842.00",1104,SKYGOLD.NS
1105,TV Today Network Limited,"1,26,288.62",1105,TVTODAY.NS
1106,Xchanging Solutions Limited,"1,25,886.20",1106,XCHANGING.NS
1107,The Andhra Sugars Limited,"1,25,709.07",1107,ANDHRSUGAR.NS
1108,Allcargo Gati Limited,"1,25,107.07",1108,ACLGATI.NS
1109,Kopran Limited,"1,24,677.79",1109,KOPRAN.NS
1110,Entertainment Network (India) Limited,"1,24,014.58",1110,ENIL.NS
1111,Veranda Learning Solutions Limited,"1,23,621.42",1111,VERANDA.NS
