Symbol,NSE Symbol,Company Name,ISIN,SERIES
AHLUCONT.NS,AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,EQ
AIAENG.NS,AIAENG,AIA Engineering Limited,INE212H01026,EQ
AIIL.NS,AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ
AIRAN.NS,AIRAN,Airan Limited,INE645W01026,EQ
AIROLAM.NS,AIROLAM,Airo Lam limited,INE801L01010,EQ
AJANTPHARM.NS,AJANTPHARM,Ajanta Pharma Limited,INE031B01049,EQ
AJAXENGG.NS,AJAXENGG,Ajax Engineering Limited,INE274Y01021,EQ
AJMERA.NS,AJMERA,Ajmera Realty & Infra India Limited,INE298G01035,EQ
AJOONI.NS,AJOONI,Ajooni Biotech Limited,INE820Y01021,EQ
AKASH.NS,AKASH,Akash Infra-Projects Limited,INE737W01013,EQ
AKCAPIT.NS,AKCAPIT,AK Capital Services Limited,INE701G01012,EQ
AKG.NS,AKG,Akg Exim Limited,INE00Y801016,EQ
AKI.NS,AKI,AKI India Limited,INE642Z01026,EQ
AKSHAR.NS,AKSHAR,Akshar Spintex Limited,INE256Z01025,EQ
AKUMS.NS,AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ
ALANKIT.NS,ALANKIT,Alankit Limited,INE914E01040,EQ
ALBERTDAVD.NS,ALBERTDAVD,Albert David Limited,INE155C01010,EQ
ALEMBICLTD.NS,ALEMBICLTD,Alembic Limited,INE426A01027,EQ
ALGOQUANT.NS,ALGOQUANT,Algoquant Fintech Limited,INE598D01035,EQ
ALICON.NS,ALICON,Alicon Castalloy Limited,INE062D01024,EQ
ALIVUS.NS,ALIVUS,Alivus Life Sciences Limited,INE03Q201024,EQ
ALKEM.NS,ALKEM,Alkem Laboratories Limited,INE540L01014,EQ
ALKYLAMINE.NS,ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,EQ
ALLCARGO.NS,ALLCARGO,Allcargo Logistics Limited,INE418H01029,EQ
ALLDIGI.NS,ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ
ALLTIME.NS,ALLTIME,All Time Plastics Limited,INE0GV601021,EQ
ALMONDZ.NS,ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ
ALOKINDS.NS,ALOKINDS,Alok Industries Limited,INE270A01029,EQ
ALPA.NS,ALPA,Alpa Laboratories Limited,INE385I01010,EQ
ALPHAGEO.NS,ALPHAGEO,Alphageo (India) Limited,INE137C01018,EQ
AMAGI.NS,AMAGI,Amagi Media Labs Limited,INE121R01077,EQ
AMBALALSA.NS,AMBALALSA,Ambalal Sarabhai Enterprises Limited,INE432A01017,EQ
AMBER.NS,AMBER,Amber Enterprises India Limited,INE371P01015,EQ
AMBICAAGAR.NS,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ
AMBIKCO.NS,AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ
AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ
AMDIND.NS,AMDIND,AMD Industries Limited,INE005I01014,EQ
AMIRCHAND.NS,AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,EQ
AMJLAND.NS,AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ
AMNPLST.NS,AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ
AMRUTANJAN.NS,AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ
