Symbol,NSE Symbol,Company Name,ISIN,SERIES
BUTTERFLY.NS,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,EQ
BVCL.NS,BVCL,Barak Valley Cements Limited,INE139I01011,EQ
CAMLINFINE.NS,CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,EQ
CAMPUS.NS,CAMPUS,Campus Activewear Limited,INE278Y01022,EQ
CAMS.NS,CAMS,Computer Age Management Services Limited,INE596I01020,EQ
CANBK.NS,CANBK,Canara Bank,INE476A01022,EQ
CANFINHOME.NS,CANFINHOME,Can Fin Homes Limited,INE477A01020,EQ
CANHLIFE.NS,CANHLIFE,Canara HSBC Life Insurance Company Limited,INE01TY01017,EQ
CANTABIL.NS,CANTABIL,Cantabil Retail India Limited,INE068L01024,EQ
CAPACITE.NS,CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,EQ
CAPILLARY.NS,CAPILLARY,Capillary Technologies India Limited,INE0ILV01024,EQ
CAPITALSFB.NS,CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017,EQ
CAPLIPOINT.NS,CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026,EQ
CAPTRUST.NS,CAPTRUST,Capital Trust Limited,INE707C01018,EQ
CARBORUNIV.NS,CARBORUNIV,Carborundum Universal Limited,INE120A01034,EQ
CARERATING.NS,CARERATING,CARE Ratings Limited,INE752H01013,EQ
CARRARO.NS,CARRARO,Carraro India Limited,INE0V7W01012,EQ
CARTRADE.NS,CARTRADE,Cartrade Tech Limited,INE290S01011,EQ
CARYSIL.NS,CARYSIL,CARYSIL LIMITED,INE482D01024,EQ
CASTROLIND.NS,CASTROLIND,Castrol India Limited,INE172A01027,EQ
CCAVENUE.NS,CCAVENUE,AvenuesAI Limited,INE483S01020,EQ
CCCL.NS,CCCL,Consolidated Construction Consortium Limited,INE429I01024,EQ
CCHHL.NS,CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,EQ
CCL.NS,CCL,CCL Products (India) Limited,INE421D01022,EQ
CDSL.NS,CDSL,Central Depository Services (India) Limited,INE736A01011,EQ
CEATLTD.NS,CEATLTD,CEAT Limited,INE482A01020,EQ
CEIGALL.NS,CEIGALL,Ceigall India Limited,INE0AG901020,EQ
CEINSYS.NS,CEINSYS,Ceinsys Tech Limited,INE016Q01014,EQ
CELEBRITY.NS,CELEBRITY,Celebrity Fashions Limited,INE185H01016,EQ
CELLO.NS,CELLO,Cello World Limited,INE0LMW01024,EQ
CEMPRO.NS,CEMPRO,Cemindia Projects Limited,INE686A01026,EQ
CENTENKA.NS,CENTENKA,Century Enka Limited,INE485A01015,EQ
CENTEXT.NS,CENTEXT,Century Extrusions Limited,INE281A01026,EQ
CENTRALBK.NS,CENTRALBK,Central Bank of India,INE483A01010,EQ
CENTRUM.NS,CENTRUM,Centrum Capital Limited,INE660C01027,EQ
CENTUM.NS,CENTUM,Centum Electronics Limited,INE320B01020,EQ
CENTURYPLY.NS,CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,EQ
CERA.NS,CERA,Cera Sanitaryware Limited,INE739E01017,EQ
CESC.NS,CESC,CESC Limited,INE486A01021,EQ
CEWATER.NS,CEWATER,Concord Enviro Systems Limited,INE037Z01029,EQ
CGCL.NS,CGCL,Capri Global Capital Limited,INE180C01042,EQ
CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,EQ
CHALET.NS,CHALET,Chalet Hotels Limited,INE427F01016,EQ
CHAMBLFERT.NS,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,EQ
CHEMPLASTS.NS,CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,EQ
CHENNPETRO.NS,CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,EQ
CHEVIOT.NS,CHEVIOT,Cheviot Company Limited,INE974B01016,EQ
CHOICEIN.NS,CHOICEIN,Choice International Limited,INE102B01014,EQ
CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,EQ
CHOLAHLDNG.NS,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,EQ
CIEINDIA.NS,CIEINDIA,CIE Automotive India Limited,INE536H01010,EQ
CIFL.NS,CIFL,Capital India Finance Limited,INE345H01024,EQ
CINELINE.NS,CINELINE,Cineline India Limited,INE704H01022,EQ
CINEVISTA.NS,CINEVISTA,Cinevista Limited,INE039B01026,EQ
CIPLA.NS,CIPLA,Cipla Limited,INE059A01026,EQ
CLEAN.NS,CLEAN,Clean Science and Technology Limited,INE227W01023,EQ
CLEANMAX.NS,CLEANMAX,Clean Max Enviro Energy Solutions Limited,INE647U01026,EQ
CLSEL.NS,CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,EQ
CMPDI.NS,CMPDI,Central Mine Planning & Design Institute Limited,INE05HV01027,EQ
CMRGREEN.NS,CMRGREEN,CMR Green Technologies Limited,INE00WV01027,EQ
CMSINFO.NS,CMSINFO,CMS Info Systems Limited,INE925R01014,EQ
CNL.NS,CNL,Creative Newtech Limited,INE985W01018,EQ
COALINDIA.NS,COALINDIA,Coal India Limited,INE522F01014,EQ
COASTCORP.NS,COASTCORP,Coastal Corporation Limited,INE377E01024,EQ
COCHINSHIP.NS,COCHINSHIP,Cochin Shipyard Limited,INE704P01025,EQ
COCKERILL.NS,COCKERILL,John Cockerill India Limited,INE515A01019,EQ
COFORGE.NS,COFORGE,Coforge Limited,INE591G01025,EQ
COHANCE.NS,COHANCE,Cohance Lifesciences Limited,INE03QK01018,EQ
COLPAL.NS,COLPAL,Colgate Palmolive (India) Limited,INE259A01022,EQ
COMFINTE.NS,COMFINTE,Comfort Intech Limited,INE819A01049,EQ
COMPUSOFT.NS,COMPUSOFT,Compucom Software Limited,INE453B01029,EQ
COMSYN.NS,COMSYN,Commercial Syn Bags Limited,INE073V01015,EQ
CONCOR.NS,CONCOR,Container Corporation of India Limited,INE111A01025,EQ
CONCORDBIO.NS,CONCORDBIO,Concord Biotech Limited,INE338H01029,EQ
CONFIPET.NS,CONFIPET,Confidence Petroleum India Limited,INE552D01024,EQ
CONSOFINVT.NS,CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,EQ
CONTROLPR.NS,CONTROLPR,Control Print Limited,INE663B01015,EQ
CORALFINAC.NS,CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,EQ
CORDELIA.NS,CORDELIA,Waterways Leisure Tourism Limited,INE0LZF01013,EQ
COROMANDEL.NS,COROMANDEL,Coromandel International Limited,INE169A01031,EQ
CORONA.NS,CORONA,CORONA Remedies Limited,INE02ZQ01018,EQ
COSMOFIRST.NS,COSMOFIRST,COSMO FIRST LIMITED,INE757A01017,EQ
COUNCODOS.NS,COUNCODOS,Country Condo's Limited,INE695B01025,EQ
CPEDU.NS,CPEDU,Career Point Edutech Limited,INE0P6P01016,EQ
CPPLUS.NS,CPPLUS,Aditya Infotech Limited,INE819V01029,EQ
CRAFTSMAN.NS,CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,EQ
CRAMC.NS,CRAMC,Canara Robeco Asset Management Company Limited,INE218I01013,EQ
CREATIVEYE.NS,CREATIVEYE,Creative Eye Limited,INE230B01021,EQ
CREDITACC.NS,CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,EQ
CREST.NS,CREST,Crest Ventures Limited,INE559D01011,EQ
CRISIL.NS,CRISIL,Crisil Limited,INE007A01025,EQ
CRIZAC.NS,CRIZAC,Crizac Limited,INE0S4R01014,EQ
CROMPTON.NS,CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,EQ
CROWN.NS,CROWN,Crown Lifters Limited,INE491V01019,EQ
CSBBANK.NS,CSBBANK,CSB Bank Limited,INE679A01013,EQ
CSLFINANCE.NS,CSLFINANCE,CSL Finance Limited,INE718F01018,EQ
CSM.NS,CSM,CSM Technologies Limited,INE0ZK601013,EQ
CTE.NS,CTE,Cambridge Technology Enterprises Limited,INE627H01017,EQ
CUB.NS,CUB,City Union Bank Limited,INE491A01021,EQ
CUBEXTUB.NS,CUBEXTUB,Cubex Tubings Limited,INE144D01012,EQ
CUMMINSIND.NS,CUMMINSIND,Cummins India Limited,INE298A01020,EQ
CUPID.NS,CUPID,Cupid Limited,INE509F01029,EQ
CURAA.NS,CURAA,Cura Technologies Limited,INE117B01020,EQ
CYIENT.NS,CYIENT,Cyient Limited,INE136B01020,EQ
CYIENTDLM.NS,CYIENTDLM,Cyient DLM Limited,INE055S01018,EQ
DABUR.NS,DABUR,Dabur India Limited,INE016A01026,EQ
DALBHARAT.NS,DALBHARAT,Dalmia Bharat Limited,INE00R701025,EQ
DALMIASUG.NS,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,EQ
DAMCAPITAL.NS,DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025,EQ
DANGEE.NS,DANGEE,Dangee Dums Limited,INE688Y01022,EQ
DATAMATICS.NS,DATAMATICS,Datamatics Global Services Limited,INE365B01017,EQ
DATAPATTNS.NS,DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,EQ
DAVANGERE.NS,DAVANGERE,Davangere Sugar Company Limited,INE179G01029,EQ
DBCORP.NS,DBCORP,D.B.Corp Limited,INE950I01011,EQ
DBL.NS,DBL,Dilip Buildcon Limited,INE917M01012,EQ
DCAL.NS,DCAL,Dishman Carbogen Amcis Limited,INE385W01011,EQ
DCBBANK.NS,DCBBANK,DCB Bank Limited,INE503A01015,EQ
DCI.NS,DCI,Dc Infotech And Communication Limited,INE0A1101019,EQ
DCMSHRIRAM.NS,DCMSHRIRAM,DCM Shriram Limited,INE499A01024,EQ
DCMSRIND.NS,DCMSRIND,DCM Shriram Industries Limited,INE843D01027,EQ
DCW.NS,DCW,DCW Limited,INE500A01029,EQ
DCXINDIA.NS,DCXINDIA,DCX Systems Limited,INE0KL801015,EQ
DDEVPLSTIK.NS,DDEVPLSTIK,Ddev Plastiks Industries Limited,INE0HR601026,EQ
DECCANCE.NS,DECCANCE,Deccan Cements Limited,INE583C01021,EQ
DECNGOLD.NS,DECNGOLD,Deccan Gold Mines Limited,INE945F01025,EQ
DEEPAKFERT.NS,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,EQ
DEEPAKNTR.NS,DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,EQ
DEEPINDS.NS,DEEPINDS,Deep Industries Limited,INE0FHS01024,EQ
DELHIVERY.NS,DELHIVERY,Delhivery Limited,INE148O01028,EQ
DELTACORP.NS,DELTACORP,Delta Corp Limited,INE124G01033,EQ
DELTAMAGNT.NS,DELTAMAGNT,Delta Manufacturing Limited,INE393A01011,EQ
DEN.NS,DEN,Den Networks Limited,INE947J01015,EQ
DENORA.NS,DENORA,De Nora India Limited,INE244A01016,EQ
DENTA.NS,DENTA,Denta Water and Infra Solutions Limited,INE0R4L01018,EQ
DEVIT.NS,DEVIT,Dev Information Technology Limited,INE060X01034,EQ
DEVX.NS,DEVX,Dev Accelerator Limited,INE0VOV01021,EQ
DEVYANI.NS,DEVYANI,Devyani International Limited,INE872J01023,EQ
DGCONTENT.NS,DGCONTENT,Digicontent Limited,INE03JI01017,EQ
DHAMPURSUG.NS,DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016,EQ
DHANBANK.NS,DHANBANK,Dhanlaxmi Bank Limited,INE680A01011,EQ
DHANUKA.NS,DHANUKA,Dhanuka Agritech Limited,INE435G01025,EQ
DHARMAJ.NS,DHARMAJ,Dharmaj Crop Guard Limited,INE00OQ01016,EQ
DHUNINV.NS,DHUNINV,Dhunseri Investments Limited,INE320L01011,EQ
DIACABS.NS,DIACABS,Diamond Power Infrastructure Limited,INE989C01038,EQ
DIAMINESQ.NS,DIAMINESQ,Diamines & Chemicals Limited,INE591D01014,EQ
DIAMONDYD.NS,DIAMONDYD,Prataap Snacks Limited,INE393P01035,EQ
DICIND.NS,DICIND,DIC India Limited,INE303A01010,EQ
DIFFNKG.NS,DIFFNKG,Diffusion Engineers Limited,INE184O01015,EQ
DIGIDRIVE.NS,DIGIDRIVE,Digidrive Distributors Limited,INE0PSC01024,EQ
DIGITIDE.NS,DIGITIDE,Digitide Solutions Limited,INE0U4701011,EQ
DIGJAMLMTD.NS,DIGJAMLMTD,Digjam Limited,INE731U01028,EQ
DISAQ.NS,DISAQ,Disa India Limited,INE131C01011,EQ
DIVGIITTS.NS,DIVGIITTS,Divgi Torqtransfer Systems Limited,INE753U01022,EQ
DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,INE361B01024,EQ
DIXON.NS,DIXON,Dixon Technologies (India) Limited,INE935N01020,EQ
DJML.NS,DJML,DJ Mediaprint & Logistics Limited,INE0B1K01014,EQ
DLF.NS,DLF,DLF Limited,INE271C01023,EQ
DLINKINDIA.NS,DLINKINDIA,D-Link (India) Limited,INE250K01012,EQ
DMART.NS,DMART,Avenue Supermarts Limited,INE192R01011,EQ
DMCC.NS,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,INE505A01010,EQ
DNAMEDIA.NS,DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,EQ
DODLA.NS,DODLA,Dodla Dairy Limited,INE021O01019,EQ
DOLATALGO.NS,DOLATALGO,Dolat Algotech Limited,INE966A01022,EQ
DOLLAR.NS,DOLLAR,Dollar Industries Limited,INE325C01035,EQ
DOLPHIN.NS,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,INE920A01037,EQ
DOMS.NS,DOMS,DOMS Industries Limited,INE321T01012,EQ
DONEAR.NS,DONEAR,Donear Industries Limited,INE668D01028,EQ
DPABHUSHAN.NS,DPABHUSHAN,D. P. Abhushan Limited,INE266Y01019,EQ
DRAGARWQ.NS,DRAGARWQ,Dr Agarwals Eye Hospital Limited,INE934C01018,EQ
DRCSYSTEMS.NS,DRCSYSTEMS,DRC Systems India Limited,INE03RS01027,EQ
DREAMFOLKS.NS,DREAMFOLKS,Dreamfolks Services Limited,INE0JS101016,EQ
DREDGECORP.NS,DREDGECORP,Dredging Corporation of India Limited,INE506A01018,EQ
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,EQ
DSSL.NS,DSSL,Dynacons Systems & Solutions Limited,INE417B01040,EQ
DTIL.NS,DTIL,Dhunseri Tea & Industries Limited,INE341R01014,EQ
DUCON.NS,DUCON,Ducon Infratechnologies Limited,INE741L01018,EQ
DVL.NS,DVL,Dhunseri Ventures Limited,INE477B01010,EQ
DWARKESH.NS,DWARKESH,Dwarikesh Sugar Industries Limited,INE366A01041,EQ
DYCL.NS,DYCL,Dynamic Cables Limited,INE600Y01019,EQ
DYNAMATECH.NS,DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,EQ
DYNPRO.NS,DYNPRO,Dynemic Products Limited,INE256H01015,EQ
E2E.NS,E2E,E2E Networks Limited,INE255Z01027,EQ
EASEMYTRIP.NS,EASEMYTRIP,Easy Trip Planners Limited,INE07O001026,EQ
EBGNG.NS,EBGNG,GNG Electronics Limited,INE18JU01028,EQ
ECLERX.NS,ECLERX,eClerx Services Limited,INE738I01010,EQ
EDELWEISS.NS,EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,EQ
EFCIL.NS,EFCIL,EFC (I) Limited,INE886D01026,EQ
EICHERMOT.NS,EICHERMOT,Eicher Motors Limited,INE066A01021,EQ
EIDPARRY.NS,EIDPARRY,EID Parry India Limited,INE126A01031,EQ
EIEL.NS,EIEL,Enviro Infra Engineers Limited,INE0LLY01014,EQ
EIHAHOTELS.NS,EIHAHOTELS,EIH Associated Hotels Limited,INE276C01014,EQ
EIHOTEL.NS,EIHOTEL,EIH Limited,INE230A01023,EQ
EIMCOELECO.NS,EIMCOELECO,Eimco Elecon (India) Limited,INE158B01016,EQ
EKC.NS,EKC,Everest Kanto Cylinder Limited,INE184H01027,EQ
ELANTAS.NS,ELANTAS,Elantas Beck India Limited,INE280B01018,EQ
ELCIDIN.NS,ELCIDIN,EL CID Investments Limited,INE927X01018,EQ
ELDEHSG.NS,ELDEHSG,Eldeco Housing And Industries Limited,INE668G01021,EQ
ELECON.NS,ELECON,Elecon Engineering Company Limited,INE205B01031,EQ
ELECTCAST.NS,ELECTCAST,Electrosteel Castings Limited,INE086A01029,EQ
ELECTHERM.NS,ELECTHERM,Electrotherm (India) Limited,INE822G01016,EQ
ELGIEQUIP.NS,ELGIEQUIP,Elgi Equipments Limited,INE285A01027,EQ
ELGIRUBCO.NS,ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,EQ
ELIN.NS,ELIN,Elin Electronics Limited,INE050401020,EQ
ELITECON.NS,ELITECON,Elitecon International Limited,INE669R01026,EQ
ELLEN.NS,ELLEN,Ellenbarrie Industrial Gases Limited,INE236E01022,EQ
ELPROINTL.NS,ELPROINTL,Elpro International Limited,INE579B01039,EQ
EMAMILTD.NS,EMAMILTD,Emami Limited,INE548C01032,EQ
EMAMIPAP.NS,EMAMIPAP,Emami Paper Mills Limited,INE830C01026,EQ
EMBDL.NS,EMBDL,Embassy Developments Limited,INE069I01010,EQ
EMCURE.NS,EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,EQ
EMIL.NS,EMIL,Electronics Mart India Limited,INE02YR01019,EQ
EMKAY.NS,EMKAY,Emkay Global Financial Services Limited,INE296H01011,EQ
EMMVEE.NS,EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,EQ
EMSLIMITED.NS,EMSLIMITED,EMS Limited,INE0OV601013,EQ
EMUDHRA.NS,EMUDHRA,eMudhra Limited,INE01QM01018,EQ
ENDURANCE.NS,ENDURANCE,Endurance Technologies Limited,INE913H01037,EQ
ENERGYDEV.NS,ENERGYDEV,Energy Development Company Limited,INE306C01019,EQ
ENGINERSIN.NS,ENGINERSIN,Engineers India Limited,INE510A01028,EQ
ENIL.NS,ENIL,Entertainment Network (India) Limited,INE265F01028,EQ
ENRIN.NS,ENRIN,Siemens Energy India Limited,INE1NPP01017,EQ
ENTERO.NS,ENTERO,Entero Healthcare Solutions Limited,INE010601016,EQ
EPACK.NS,EPACK,EPACK Durable Limited,INE0G5901015,EQ
EPACKPEB.NS,EPACKPEB,EPack Prefab Technologies Limited,INE0MLS01022,EQ
EPIGRAL.NS,EPIGRAL,Epigral Limited,INE071N01016,EQ
EPL.NS,EPL,EPL Limited,INE255A01020,EQ
EQUITASBNK.NS,EQUITASBNK,Equitas Small Finance Bank Limited,INE063P01018,EQ
ERIS.NS,ERIS,Eris Lifesciences Limited,INE406M01024,EQ
ESABINDIA.NS,ESABINDIA,Esab India Limited,INE284A01012,EQ
ESAFSFB.NS,ESAFSFB,ESAF Small Finance Bank Limited,INE818W01011,EQ
ESCORTS.NS,ESCORTS,Escorts Kubota Limited,INE042A01014,EQ
ESSARSHPNG.NS,ESSARSHPNG,Essar Shipping Limited,INE122M01019,EQ
ESTER.NS,ESTER,Ester Industries Limited,INE778B01029,EQ
ETERNAL.NS,ETERNAL,ETERNAL LIMITED,INE758T01015,EQ
ETHOSLTD.NS,ETHOSLTD,Ethos Limited,INE04TZ01018,EQ
EUREKAFORB.NS,EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,EQ
EUROBOND.NS,EUROBOND,Euro Panel Products Limited,INE505V01016,EQ
EUROPRATIK.NS,EUROPRATIK,Euro Pratik Sales Limited,INE198501012,EQ
EVEREADY.NS,EVEREADY,Eveready Industries India Limited,INE128A01029,EQ
EXCELINDUS.NS,EXCELINDUS,Excel Industries Limited,INE369A01029,EQ
EXCELSOFT.NS,EXCELSOFT,Excelsoft Technologies Limited,INE606N01019,EQ
EXICOM.NS,EXICOM,Exicom Tele-Systems Limited,INE777F01014,EQ
EXIDEIND.NS,EXIDEIND,Exide Industries Limited,INE302A01020,EQ
EXPLEOSOL.NS,EXPLEOSOL,Expleo Solutions Limited,INE201K01015,EQ
EXXARO.NS,EXXARO,Exxaro Tiles Limited,INE0GFE01026,EQ
FABTECH.NS,FABTECH,Fabtech Technologies Limited,INE0HF201011,EQ
FACT.NS,FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,EQ
FAZE3Q.NS,FAZE3Q,Faze Three Limited,INE963C01033,EQ
FCL.NS,FCL,Fineotex Chemical Limited,INE045J01034,EQ
FDC.NS,FDC,FDC Limited,INE258B01022,EQ
FEDDERSHOL.NS,FEDDERSHOL,Fedders Holding Limited,INE417D01020,EQ
FEDERALBNK.NS,FEDERALBNK,The Federal Bank  Limited,INE171A01029,EQ
FEDFINA.NS,FEDFINA,Fedbank Financial Services Limited,INE007N01010,EQ
FERMENTA.NS,FERMENTA,Fermenta Biotech Limited,INE225B01021,EQ
FIBERWEB.NS,FIBERWEB,Fiberweb (India) Limited,INE296C01020,EQ
FIEMIND.NS,FIEMIND,Fiem Industries Limited,INE737H01014,EQ
FILATEX.NS,FILATEX,Filatex India Limited,INE816B01035,EQ
FINCABLES.NS,FINCABLES,Finolex Cables Limited,INE235A01022,EQ
FINEORG.NS,FINEORG,Fine Organic Industries Limited,INE686Y01026,EQ
FINKURVE.NS,FINKURVE,Finkurve Financial Services Limited,INE734I01027,EQ
FINOPB.NS,FINOPB,Fino Payments Bank Limited,INE02NC01014,EQ
FINPIPE.NS,FINPIPE,Finolex Industries Limited,INE183A01024,EQ
FIRSTCRY.NS,FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,EQ
FISCHER.NS,FISCHER,Fischer Medical Ventures Limited,INE771F01041,EQ
FIVESTAR.NS,FIVESTAR,Five-Star Business Finance Limited,INE128S01021,EQ
FLAIR.NS,FLAIR,Flair Writing Industries Limited,INE00Y201027,EQ
FLUOROCHEM.NS,FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,EQ
FMGOETZE.NS,FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,EQ
FOODSIN.NS,FOODSIN,Foods & Inns Limited,INE976E01023,EQ
FORCEMOT.NS,FORCEMOT,FORCE MOTORS LTD,INE451A01017,EQ
FORTIS.NS,FORTIS,Fortis Healthcare Limited,INE061F01013,EQ
FOSECOIND.NS,FOSECOIND,Foseco India Limited,INE519A01011,EQ
FRACTAL.NS,FRACTAL,Fractal Analytics Limited,INE212S01015,EQ
FRONTSP.NS,FRONTSP,Frontier Springs Limited,INE572D01014,EQ
FSL.NS,FSL,Firstsource Solutions Limited,INE684F01012,EQ
FUSION.NS,FUSION,Fusion Finance Limited,INE139R01012,EQ
GABRIEL.NS,GABRIEL,Gabriel India Limited,INE524A01029,EQ
GAEL.NS,GAEL,Gujarat Ambuja Exports Limited,INE036B01030,EQ
GAIL.NS,GAIL,GAIL (India) Limited,INE129A01019,EQ
GALAPREC.NS,GALAPREC,Gala Precision Engineering Limited,INE0RE001014,EQ
GALAXYSURF.NS,GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,EQ
GALLANTT.NS,GALLANTT,Gallantt Ispat Limited,INE297H01019,EQ
GANDHAR.NS,GANDHAR,Gandhar Oil Refinery (India) Limited,INE717W01049,EQ
GANDHITUBE.NS,GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,EQ
GANECOS.NS,GANECOS,Ganesha Ecosphere Limited,INE845D01014,EQ
GANESHBE.NS,GANESHBE,Ganesh Benzoplast Limited,INE388A01029,EQ
GANESHCP.NS,GANESHCP,Ganesh Consumer Products Limited,INE652V01016,EQ
GANESHHOU.NS,GANESHHOU,GANESH HOUSING LIMITED,INE460C01014,EQ
GANGESSECU.NS,GANGESSECU,Ganges Securities Limited,INE335W01016,EQ
GARFIBRES.NS,GARFIBRES,Garware Technical Fibres Limited,INE276A01018,EQ
GARUDA.NS,GARUDA,Garuda Construction and Engineering Limited,INE0JVO01026,EQ
GATECH.NS,GATECH,GACM Technologies Limited,INE224E01028,EQ
GATECHDVR.NS,GATECHDVR,GACM Technologies Limited,INE224E01036,EQ
GATEWAY.NS,GATEWAY,Gateway Distriparks Limited,INE079J01017,EQ
GAYAHWS.NS,GAYAHWS,Gayatri Highways Limited,INE287Z01012,EQ
GCSL.NS,GCSL,Gretex Corporate Services Limited,INE199P01028,EQ
GEEKAYWIRE.NS,GEEKAYWIRE,Geekay Wires Limited,INE669X01032,EQ
GEMAROMA.NS,GEMAROMA,Gem Aromatics Limited,INE06XZ01023,EQ
GENCON.NS,GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,EQ
GENESYS.NS,GENESYS,Genesys International Corporation Limited,INE727B01026,EQ
GENUSPAPER.NS,GENUSPAPER,Genus Paper & Boards Limited,INE949P01018,EQ
GENUSPOWER.NS,GENUSPOWER,Genus Power Infrastructures Limited,INE955D01029,EQ
GEOJITFSL.NS,GEOJITFSL,Geojit Financial Services Limited,INE007B01023,EQ
GESHIP.NS,GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,EQ
GFLLIMITED.NS,GFLLIMITED,GFL Limited,INE538A01037,EQ
GHCL.NS,GHCL,GHCL Limited,INE539A01019,EQ
GHCLTEXTIL.NS,GHCLTEXTIL,GHCL Textiles Limited,INE0PA801013,EQ
GICHSGFIN.NS,GICHSGFIN,GIC Housing Finance Limited,INE289B01019,EQ
GICL.NS,GICL,Globe International Carriers Limited,INE947T01022,EQ
GICRE.NS,GICRE,General Insurance Corporation of India,INE481Y01014,EQ
GILLANDERS.NS,GILLANDERS,Gillanders Arbuthnot & Company Limited,INE047B01011,EQ
GILLETTE.NS,GILLETTE,Gillette India Limited,INE322A01010,EQ
GIPCL.NS,GIPCL,Gujarat Industries Power Company Limited,INE162A01010,EQ
GKENERGY.NS,GKENERGY,GK Energy Limited,INE1AG301022,EQ
GKSL.NS,GKSL,Gujarat Kidney And Super Speciality Limited,INE0V0W01025,EQ
GKWLIMITED.NS,GKWLIMITED,GKW Limited,INE528A01020,EQ
GLAND.NS,GLAND,Gland Pharma Limited,INE068V01023,EQ
GLAXO.NS,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,EQ
GLENMARK.NS,GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,EQ
GLOBAL.NS,GLOBAL,Global Education Limited,INE291W01037,EQ
GLOBALVECT.NS,GLOBALVECT,Global Vectra Helicorp Limited,INE792H01019,EQ
GLOBE.NS,GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021,EQ
GLOBUSSPR.NS,GLOBUSSPR,Globus Spirits Limited,INE615I01010,EQ
GLOSTERLTD.NS,GLOSTERLTD,Gloster Limited,INE350Z01018,EQ
GMBREW.NS,GMBREW,GM Breweries Limited,INE075D01018,EQ
GMDCLTD.NS,GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,EQ
GMMPFAUDLR.NS,GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,EQ
GMRAIRPORT.NS,GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,EQ
GMRP&UI.NS,GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,EQ
GNA.NS,GNA,GNA Axles Limited,INE934S01014,EQ
GNFC.NS,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,EQ
GNRL.NS,GNRL,Gujarat Natural Resources Limited,INE207H01018,EQ
GOACARBON.NS,GOACARBON,Goa Carbon Limited,INE426D01013,EQ
GOCLCORP.NS,GOCLCORP,GOCL Corporation Limited,INE077F01035,EQ
GOCOLORS.NS,GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,EQ
GODAVARIB.NS,GODAVARIB,Godavari Biorefineries Limited,INE497S01012,EQ
GODFRYPHLP.NS,GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,EQ
GODIGIT.NS,GODIGIT,Go Digit General Insurance Limited,INE03JT01014,EQ
