Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
RELIANCE.NS,RELIANCE,Reliance Industries Limited,INE002A01018,EQ,17416291614720.0,1
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ,11743649595392.0,2
HDFCBANK.NS,HDFCBANK,HDFC Bank Limited,INE040A01034,EQ,11100543254528.0,3
ICICIBANK.NS,ICICIBANK,ICICI Bank Limited,INE090A01021,EQ,10210903064576.0,4
SBIN.NS,SBIN,State Bank of India,INE062A01020,EQ,9669072388096.0,5
TCS.NS,TCS,Tata Consultancy Services Limited,INE467B01029,EQ,8473561006080.0,6
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ,6717964288000.0,7
LT.NS,LT,Larsen & Toubro Limited,INE018A01030,EQ,5566478942208.0,8
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Limited,INE030A01027,EQ,4723618349056.0,9
INFY.NS,INFY,Infosys Limited,INE009A01021,EQ,4633542524928.0,10
SUNPHARMA.NS,SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,EQ,4606723096576.0,11
TITAN.NS,TITAN,Titan Company Limited,INE280A01028,EQ,4586694770688.0,12
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,INE423A01024,EQ,4508691202048.0,13
KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,EQ,4214822010880.0,14
MARUTI.NS,MARUTI,Maruti Suzuki India Limited,INE585B01010,EQ,4205448527872.0,15
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,INE814H01029,EQ,4100504682496.0,16
M&M.NS,M&M,Mahindra & Mahindra Limited,INE101A01026,EQ,4003341271040.0,17
AXISBANK.NS,AXISBANK,Axis Bank Limited,INE238A01034,EQ,3938049851392.0,18
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,EQ,3934009950208.0,19
HCLTECH.NS,HCLTECH,HCL Technologies Limited,INE860A01027,EQ,3561059516416.0,20
ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement Limited,INE481G01011,EQ,3409131864064.0,21
ITC.NS,ITC,ITC Limited,INE154A01025,EQ,3332921884672.0,22
BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ,3270220709888.0,23
JSWSTEEL.NS,JSWSTEEL,JSW Steel Limited,INE019A01038,EQ,3258461716480.0,24
HAL.NS,HAL,Hindustan Aeronautics Limited,INE066F01020,EQ,3250982223872.0,25
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ,3203689873408.0,26
NTPC.NS,NTPC,NTPC Limited,INE733E01010,EQ,3200384761856.0,27
ETERNAL.NS,ETERNAL,ETERNAL LIMITED,INE758T01015,EQ,3019369086976.0,28
BEL.NS,BEL,Bharat Electronics Limited,INE263A01024,EQ,3010897903616.0,29
ONGC.NS,ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,EQ,2921769992192.0,30
NESTLEIND.NS,NESTLEIND,Nestle India Limited,INE239A01024,EQ,2804926119936.0,31
LICI.NS,LICI,Life Insurance Corporation Of India,INE0J1Y01017,EQ,2669148897280.0,32
HINDZINC.NS,HINDZINC,Hindustan Zinc Limited,INE267A01025,EQ,2628148264960.0,33
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Limited,INE721A01047,EQ,2557419716608.0,34
ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,INE021A01026,EQ,2500815224832.0,35
DMART.NS,DMART,Avenue Supermarts Limited,INE192R01011,EQ,2498493415424.0,36
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Limited,INE752E01010,EQ,2474425450496.0,37
COALINDIA.NS,COALINDIA,Coal India Limited,INE522F01014,EQ,2471254032384.0,38
DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,INE361B01024,EQ,2452664090624.0,39
TATASTEEL.NS,TATASTEEL,Tata Steel Limited,INE081A01020,EQ,2326459842560.0,40
HINDALCO.NS,HINDALCO,Hindalco Industries Limited,INE038A01020,EQ,2302859018240.0,41
GRASIM.NS,GRASIM,Grasim Industries Limited,INE047A01021,EQ,2231451516928.0,42
EICHERMOT.NS,EICHERMOT,Eicher Motors Limited,INE066A01021,EQ,2212370317312.0,43
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ,2159448031232.0,44
