Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
TORNTPHARM.NS,TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,EQ,1612015599616.0,55
JIOFIN.NS,JIOFIN,Jio Financial Services Limited,INE758E01017,EQ,1604431380480.0,56
PIDILITIND.NS,PIDILITIND,Pidilite Industries Limited,INE318A01026,EQ,1593961480192.0,57
ABB.NS,ABB,ABB India Limited,INE117A01022,EQ,1590584147968.0,58
ICICIAMC.NS,ICICIAMC,ICICI Prudential Asset Management Company Limited,INE346A01027,EQ,1573126012928.0,59
VBL.NS,VBL,Varun Beverages Limited,INE200M01039,EQ,1567265128448.0,60
CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,EQ,1541408161792.0,61
TMCV.NS,TMCV,Tata Motors Limited,INE1TAE01010,EQ,1527031660544.0,62
MOTHERSON.NS,MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,EQ,1518287454208.0,63
TRENT.NS,TRENT,Trent Limited,INE849A01020,EQ,1515659460608.0,64
CUMMINSIND.NS,CUMMINSIND,Cummins India Limited,INE298A01020,EQ,1510185631744.0,65
TATACAP.NS,TATACAP,Tata Capital Limited,INE976I01016,EQ,1493552594944.0,66
IDEA.NS,IDEA,Vodafone Idea Limited,INE669E01016,EQ,1488633200640.0,67
BHEL.NS,BHEL,Bharat Heavy Electricals Limited,INE257A01026,EQ,1469430759424.0,68
BSE.NS,BSE,BSE Limited,INE118H01025,EQ,1454673231872.0,69
POWERINDIA.NS,POWERINDIA,Hitachi Energy India Limited,INE07Y701011,EQ,1429658533888.0,70
CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,EQ,1425387552768.0,71
TECHM.NS,TECHM,Tech Mahindra Limited,INE669C01036,EQ,1393309908992.0,72
BPCL.NS,BPCL,Bharat Petroleum Corporation Limited,INE029A01011,EQ,1348214194176.0,73
PFC.NS,PFC,Power Finance Corporation Limited,INE134E01011,EQ,1336046125056.0,74
POLYCAB.NS,POLYCAB,Polycab India Limited,INE455K01017,EQ,1334927818752.0,75
BRITANNIA.NS,BRITANNIA,Britannia Industries Limited,INE216A01030,EQ,1303699652608.0,76
SIEMENS.NS,SIEMENS,Siemens Limited,INE003A01024,EQ,1302973775872.0,77
