symbol,error_type,reason,failed_at
AAATECH.NS,ScreenerDataError,Screener returned no historical P/E observations for AAATECH.NS,2026-07-24T16:20:22.472364+00:00
AARNAV.NS,ScreenerDataError,Screener returned no historical P/E observations for AARNAV.NS,2026-07-24T16:26:40.348807+00:00
AARON.NS,ScreenerDataError,Screener returned no historical P/E observations for AARON.NS,2026-07-24T16:15:05.370694+00:00
ABBOTINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for ABBOTINDIA.NS,2026-07-24T13:37:12.444623+00:00
ABINFRA.NS,ScreenerDataError,Screener returned no historical P/E observations for ABINFRA.NS,2026-07-24T15:31:37.505603+00:00
ACL.NS,ScreenerDataError,Screener returned no historical P/E observations for ACL.NS,2026-07-24T15:41:35.023556+00:00
ADL.NS,ScreenerDataError,Screener returned no historical P/E observations for ADL.NS,2026-07-24T16:24:42.553122+00:00
ADVANIHOTR.NS,ScreenerDataError,Screener returned no historical P/E observations for ADVANIHOTR.NS,2026-07-24T15:41:08.774636+00:00
AEQUS.NS,ScreenerDataError,Screener returned no historical P/E observations for AEQUS.NS,2026-07-24T13:47:45.927398+00:00
AGL.NS,ScreenerDataError,Screener returned no historical P/E observations for AGL.NS,2026-07-24T14:54:58.539043+00:00
AHLADA.NS,ScreenerDataError,Screener returned no historical P/E observations for AHLADA.NS,2026-07-24T16:23:48.838722+00:00
AJAXENGG.NS,ScreenerDataError,Screener returned no historical P/E observations for AJAXENGG.NS,2026-07-24T13:57:17.794185+00:00
AJOONI.NS,ScreenerDataError,Screener returned no historical P/E observations for AJOONI.NS,2026-07-24T16:22:39.184090+00:00
AKSHAR.NS,ScreenerDataError,Screener returned no historical P/E observations for AKSHAR.NS,2026-07-24T16:25:03.369119+00:00
ALBERTDAVD.NS,ScreenerDataError,Screener returned no historical P/E observations for ALBERTDAVD.NS,2026-07-24T15:42:56.669688+00:00
AMBICAAGAR.NS,ScreenerDataError,Screener returned no historical P/E observations for AMBICAAGAR.NS,2026-07-24T16:24:25.150873+00:00
AMBIKCO.NS,ScreenerDataError,Screener returned no historical P/E observations for AMBIKCO.NS,2026-07-24T15:26:59.020884+00:00
AMDIND.NS,ScreenerDataError,Screener returned no historical P/E observations for AMDIND.NS,2026-07-24T16:22:09.696426+00:00
AMIRCHAND.NS,ScreenerDataError,Screener request failed: https://www.screener.in/company/AMIRCHAND/consolidated/,2026-07-24T16:26:50.769101+00:00
ANDHRAPAP.NS,ScreenerDataError,Screener returned no historical P/E observations for ANDHRAPAP.NS,2026-07-24T14:55:10.619962+00:00
ANMOL.NS,ScreenerDataError,Screener returned no historical P/E observations for ANMOL.NS,2026-07-24T16:23:11.030197+00:00
ANTELOPUS.NS,ScreenerDataError,Screener returned no historical P/E observations for ANTELOPUS.NS,2026-07-24T14:13:02.904835+00:00
ANTGRAPHIC.NS,ScreenerDataError,Screener returned no historical P/E observations for ANTGRAPHIC.NS,2026-07-24T16:26:25.192063+00:00
ANUHPHR.NS,ScreenerDataError,Screener returned no historical P/E observations for ANUHPHR.NS,2026-07-24T15:29:03.790241+00:00
APEX.NS,ScreenerDataError,Screener returned no historical P/E observations for APEX.NS,2026-07-24T14:54:46.943659+00:00
ARCHIES.NS,ScreenerDataError,Screener returned no historical P/E observations for ARCHIES.NS,2026-07-24T16:23:53.979636+00:00
AROGRANITE.NS,ScreenerDataError,Screener returned no historical P/E observations for AROGRANITE.NS,2026-07-24T16:24:44.900749+00:00
ARTNIRMAN.NS,ScreenerDataError,Screener returned no historical P/E observations for ARTNIRMAN.NS,2026-07-24T16:21:08.250548+00:00
ARVEE.NS,ScreenerDataError,Screener returned no historical P/E observations for ARVEE.NS,2026-07-24T16:17:29.921467+00:00
ASAL.NS,ScreenerDataError,Screener returned no historical P/E observations for ASAL.NS,2026-07-24T15:28:36.870872+00:00
ASTRAZEN.NS,ScreenerDataError,Screener returned no historical P/E observations for ASTRAZEN.NS,2026-07-24T13:44:07.460538+00:00
ATAM.NS,ScreenerDataError,Screener returned no historical P/E observations for ATAM.NS,2026-07-24T16:22:25.357982+00:00
ATHERENERG.NS,ScreenerDataError,Screener returned no historical P/E observations for ATHERENERG.NS,2026-07-24T13:37:53.866705+00:00
AUTOAXLES.NS,ScreenerDataError,Screener returned no historical P/E observations for AUTOAXLES.NS,2026-07-24T14:14:00.444363+00:00
AVL.NS,ScreenerDataError,Screener returned no historical P/E observations for AVL.NS,2026-07-24T13:54:49.228119+00:00
AYE.NS,ScreenerDataError,Screener returned no historical P/E observations for AYE.NS,2026-07-24T14:04:01.195561+00:00
BAIDFIN.NS,ScreenerDataError,Screener returned no historical P/E observations for BAIDFIN.NS,2026-07-24T16:18:01.353594+00:00
BAJAJHCARE.NS,ScreenerDataError,Screener returned no historical P/E observations for BAJAJHCARE.NS,2026-07-24T14:54:39.900841+00:00
BAJAJHFL.NS,ScreenerDataError,Screener returned no historical P/E observations for BAJAJHFL.NS,2026-07-24T13:36:07.198416+00:00
BALKRISHNA.NS,ScreenerDataError,Screener returned no historical P/E observations for BALKRISHNA.NS,2026-07-24T16:23:32.541193+00:00
BANARBEADS.NS,ScreenerDataError,Screener returned no historical P/E observations for BANARBEADS.NS,2026-07-24T16:22:20.648878+00:00
BANARISUG.NS,ScreenerDataError,Screener returned no historical P/E observations for BANARISUG.NS,2026-07-24T14:03:11.319090+00:00
BANDHANBNK.NS,ScreenerDataError,Screener returned no historical P/E observations for BANDHANBNK.NS,2026-07-24T13:40:07.095238+00:00
BAYERCROP.NS,ScreenerDataError,Screener returned no historical P/E observations for BAYERCROP.NS,2026-07-24T13:44:36.590483+00:00
BBL.NS,ScreenerDataError,Screener returned no historical P/E observations for BBL.NS,2026-07-24T14:12:19.845434+00:00
BDL.NS,ScreenerDataError,Screener returned no historical P/E observations for BDL.NS,2026-07-24T13:38:18.052926+00:00
BELLACASA.NS,ScreenerDataError,Screener returned no historical P/E observations for BELLACASA.NS,2026-07-24T15:44:16.440514+00:00
BHARATCOAL.NS,ScreenerDataError,Screener returned no historical P/E observations for BHARATCOAL.NS,2026-07-24T16:27:06.370852+00:00
BHARATSE.NS,ScreenerDataError,Screener returned no historical P/E observations for BHARATSE.NS,2026-07-24T14:52:37.116717+00:00
BHARTIHEXA.NS,ScreenerDataError,Screener returned no historical P/E observations for BHARTIHEXA.NS,2026-07-24T13:35:21.573952+00:00
BIOFILCHEM.NS,ScreenerDataError,Screener returned no historical P/E observations for BIOFILCHEM.NS,2026-07-24T16:23:39.601435+00:00
BLAL.NS,ScreenerDataError,Screener returned no historical P/E observations for BLAL.NS,2026-07-24T15:29:44.263244+00:00
BLUEJET.NS,ScreenerDataError,Screener returned no historical P/E observations for BLUEJET.NS,2026-07-24T13:52:25.011149+00:00
BLUSPRING.NS,ScreenerDataError,Screener returned no historical P/E observations for BLUSPRING.NS,2026-07-24T14:37:41.651389+00:00
BMWVENTLTD.NS,ScreenerDataError,Screener returned no historical P/E observations for BMWVENTLTD.NS,2026-07-24T15:40:44.202696+00:00
BOHRAIND.NS,ScreenerDataError,Screener returned no historical P/E observations for BOHRAIND.NS,2026-07-24T16:26:15.666347+00:00
BORANA.NS,ScreenerDataError,Screener returned no historical P/E observations for BORANA.NS,2026-07-24T15:28:20.969742+00:00
BOSCH-HCIL.NS,ScreenerDataError,Screener returned no historical P/E observations for BOSCH-HCIL.NS,2026-07-24T14:06:08.557882+00:00
BSL.NS,ScreenerDataError,Screener returned no historical P/E observations for BSL.NS,2026-07-24T16:19:27.891369+00:00
BUTTERFLY.NS,ScreenerDataError,Screener returned no historical P/E observations for BUTTERFLY.NS,2026-07-24T14:52:46.579262+00:00
CANFINHOME.NS,ScreenerDataError,Screener returned no historical P/E observations for CANFINHOME.NS,2026-07-24T13:50:20.361514+00:00
CANHLIFE.NS,ScreenerDataError,Screener returned no historical P/E observations for CANHLIFE.NS,2026-07-24T13:48:19.920601+00:00
CANTABIL.NS,ScreenerDataError,Screener returned no historical P/E observations for CANTABIL.NS,2026-07-24T14:34:15.039822+00:00
CAPITALSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for CAPITALSFB.NS,2026-07-24T14:52:54.188723+00:00
CASTROLIND.NS,ScreenerDataError,Screener returned no historical P/E observations for CASTROLIND.NS,2026-07-24T13:45:07.508903+00:00
CCCL.NS,ScreenerDataError,Screener returned no historical P/E observations for CCCL.NS,2026-07-24T15:30:23.082713+00:00
CELEBRITY.NS,ScreenerDataError,Screener returned no historical P/E observations for CELEBRITY.NS,2026-07-24T16:24:10.559536+00:00
CENTEXT.NS,ScreenerDataError,Screener returned no historical P/E observations for CENTEXT.NS,2026-07-24T16:18:03.714189+00:00
CHEVIOT.NS,ScreenerDataError,Screener returned no historical P/E observations for CHEVIOT.NS,2026-07-24T15:31:22.428623+00:00
CLSEL.NS,ScreenerDataError,Screener returned no historical P/E observations for CLSEL.NS,2026-07-24T14:53:27.825127+00:00
COCKERILL.NS,ScreenerDataError,Screener returned no historical P/E observations for COCKERILL.NS,2026-07-24T16:27:23.496405+00:00
COLPAL.NS,ScreenerDataError,Screener returned no historical P/E observations for COLPAL.NS,2026-07-24T13:37:29.877075+00:00
CORALFINAC.NS,ScreenerDataError,Screener returned no historical P/E observations for CORALFINAC.NS,2026-07-24T16:19:39.629726+00:00
COUNCODOS.NS,ScreenerDataError,Screener returned no historical P/E observations for COUNCODOS.NS,2026-07-24T16:24:01.171155+00:00
CRAMC.NS,ScreenerDataError,Screener returned no historical P/E observations for CRAMC.NS,2026-07-24T14:00:58.998049+00:00
CREATIVEYE.NS,ScreenerDataError,Screener returned no historical P/E observations for CREATIVEYE.NS,2026-07-24T16:26:22.837168+00:00
CROWN.NS,ScreenerDataError,Screener returned no historical P/E observations for CROWN.NS,2026-07-24T16:19:44.877050+00:00
CSBBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for CSBBANK.NS,2026-07-24T13:58:32.700957+00:00
CSLFINANCE.NS,ScreenerDataError,Screener returned no historical P/E observations for CSLFINANCE.NS,2026-07-24T15:41:11.106553+00:00
CUB.NS,ScreenerDataError,Screener returned no historical P/E observations for CUB.NS,2026-07-24T13:43:20.011855+00:00
CUBEXTUB.NS,ScreenerDataError,Screener returned no historical P/E observations for CUBEXTUB.NS,2026-07-24T16:20:34.845212+00:00
CURAA.NS,ScreenerDataError,Screener returned no historical P/E observations for CURAA.NS,2026-07-24T16:22:23.005900+00:00
DATAPATTNS.NS,ScreenerDataError,Screener returned no historical P/E observations for DATAPATTNS.NS,2026-07-24T13:43:05.803875+00:00
DAVANGERE.NS,ScreenerDataError,Screener returned no historical P/E observations for DAVANGERE.NS,2026-07-24T15:40:45.030373+00:00
DCBBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DCBBANK.NS,2026-07-24T13:58:49.453902+00:00
DCW.NS,ScreenerDataError,Screener returned no historical P/E observations for DCW.NS,2026-07-24T14:53:08.712320+00:00
DDEVPLSTIK.NS,ScreenerDataError,Screener returned no historical P/E observations for DDEVPLSTIK.NS,2026-07-24T14:12:34.784061+00:00
DECNGOLD.NS,ScreenerDataError,Screener returned no historical P/E observations for DECNGOLD.NS,2026-07-24T16:27:30.870913+00:00
DELTAMAGNT.NS,ScreenerDataError,Screener returned no historical P/E observations for DELTAMAGNT.NS,2026-07-24T16:22:57.415696+00:00
DENORA.NS,ScreenerDataError,Screener returned no historical P/E observations for DENORA.NS,2026-07-24T15:41:28.524881+00:00
DHANBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DHANBANK.NS,2026-07-24T14:53:42.856432+00:00
DICIND.NS,ScreenerDataError,Screener returned no historical P/E observations for DICIND.NS,2026-07-24T15:41:20.866881+00:00
DIGJAMLMTD.NS,ScreenerDataError,Screener returned no historical P/E observations for DIGJAMLMTD.NS,2026-07-24T16:21:54.124796+00:00
DIVGIITTS.NS,ScreenerDataError,Screener returned no historical P/E observations for DIVGIITTS.NS,2026-07-24T14:13:47.150572+00:00
DNAMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for DNAMEDIA.NS,2026-07-24T16:25:02.059211+00:00
DRAGARWQ.NS,ScreenerDataError,Screener returned no historical P/E observations for DRAGARWQ.NS,2026-07-24T16:27:35.690851+00:00
DREDGECORP.NS,ScreenerDataError,Screener returned no historical P/E observations for DREDGECORP.NS,2026-07-24T14:13:41.527663+00:00
DWARKESH.NS,ScreenerDataError,Screener returned no historical P/E observations for DWARKESH.NS,2026-07-24T15:28:39.205783+00:00
DYCL.NS,ScreenerDataError,Screener returned no historical P/E observations for DYCL.NS,2026-07-24T14:36:03.302182+00:00
E2E.NS,ScreenerDataError,Screener returned no historical P/E observations for E2E.NS,2026-07-24T13:54:34.643590+00:00
EIHAHOTELS.NS,ScreenerDataError,Screener returned no historical P/E observations for EIHAHOTELS.NS,2026-07-24T14:35:19.676156+00:00
ELANTAS.NS,ScreenerDataError,Screener returned no historical P/E observations for ELANTAS.NS,2026-07-24T13:56:18.897306+00:00
ELLEN.NS,ScreenerDataError,Screener returned no historical P/E observations for ELLEN.NS,2026-07-24T14:04:18.734611+00:00
EMAMIPAP.NS,ScreenerDataError,Screener returned no historical P/E observations for EMAMIPAP.NS,2026-07-24T15:32:39.241200+00:00
ENRIN.NS,ScreenerDataError,Screener returned no historical P/E observations for ENRIN.NS,2026-07-24T13:33:14.252848+00:00
EQUITASBNK.NS,ScreenerDataError,Screener returned no historical P/E observations for EQUITASBNK.NS,2026-07-24T13:53:55.080095+00:00
ESABINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for ESABINDIA.NS,2026-07-24T13:54:19.131913+00:00
ESAFSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for ESAFSFB.NS,2026-07-24T14:36:15.056111+00:00
