symbol,error_type,reason,failed_at
FEDFINA.NS,ScreenerDataError,Screener returned no historical P/E observations for FEDFINA.NS,2026-07-24T13:59:18.375324+00:00
FINOPB.NS,ScreenerDataError,Screener returned no historical P/E observations for FINOPB.NS,2026-07-24T14:52:17.274528+00:00
FIRSTCRY.NS,ScreenerDataError,Screener returned no historical P/E observations for FIRSTCRY.NS,2026-07-24T13:52:18.136145+00:00
FIVESTAR.NS,ScreenerDataError,Screener returned no historical P/E observations for FIVESTAR.NS,2026-07-24T13:46:22.055326+00:00
FRONTSP.NS,ScreenerDataError,Screener returned no historical P/E observations for FRONTSP.NS,2026-07-24T16:27:47.638088+00:00
FUSION.NS,ScreenerDataError,Screener returned no historical P/E observations for FUSION.NS,2026-07-24T14:05:56.531468+00:00
GANDHITUBE.NS,ScreenerDataError,Screener returned no historical P/E observations for GANDHITUBE.NS,2026-07-24T14:56:58.860621+00:00
GANESHCP.NS,ScreenerDataError,Screener returned no historical P/E observations for GANESHCP.NS,2026-07-24T15:30:30.091609+00:00
GEEKAYWIRE.NS,ScreenerDataError,Screener returned no historical P/E observations for GEEKAYWIRE.NS,2026-07-24T16:15:07.720217+00:00
GHCLTEXTIL.NS,ScreenerDataError,Screener returned no historical P/E observations for GHCLTEXTIL.NS,2026-07-24T14:56:24.822903+00:00
GILLETTE.NS,ScreenerDataError,Screener returned no historical P/E observations for GILLETTE.NS,2026-07-24T13:42:22.193085+00:00
GLOBALVECT.NS,ScreenerDataError,Screener returned no historical P/E observations for GLOBALVECT.NS,2026-07-24T16:16:13.265837+00:00
GOCOLORS.NS,ScreenerDataError,Screener returned no historical P/E observations for GOCOLORS.NS,2026-07-24T14:36:08.236311+00:00
GODIGIT.NS,ScreenerDataError,Screener returned no historical P/E observations for GODIGIT.NS,2026-07-24T13:42:17.496930+00:00
GOODYEAR.NS,ScreenerDataError,Screener returned no historical P/E observations for GOODYEAR.NS,2026-07-24T14:35:55.586544+00:00
GOPAL.NS,ScreenerDataError,Screener returned no historical P/E observations for GOPAL.NS,2026-07-24T14:11:07.998572+00:00
GPTHEALTH.NS,ScreenerDataError,Screener returned no historical P/E observations for GPTHEALTH.NS,2026-07-24T14:54:44.596662+00:00
GROBTEA.NS,ScreenerDataError,Screener returned no historical P/E observations for GROBTEA.NS,2026-07-24T16:21:00.822682+00:00
GRSE.NS,ScreenerDataError,Screener returned no historical P/E observations for GRSE.NS,2026-07-24T13:41:12.076148+00:00
GTLINFRA.NS,ScreenerDataError,Screener returned no historical P/E observations for GTLINFRA.NS,2026-07-24T14:38:08.109123+00:00
GUJRAFFIA.NS,ScreenerDataError,Screener returned no historical P/E observations for GUJRAFFIA.NS,2026-07-24T16:27:58.380293+00:00
GUJTHEM.NS,ScreenerDataError,Screener returned no historical P/E observations for GUJTHEM.NS,2026-07-24T14:04:26.018271+00:00
GVT&D.NS,ScreenerDataError,Screener returned no historical P/E observations for GVT&D.NS,2026-07-24T13:33:44.924398+00:00
HAVISHA.NS,ScreenerDataError,Screener returned no historical P/E observations for HAVISHA.NS,2026-07-24T16:25:57.131078+00:00
HAWKINCOOK.NS,ScreenerDataError,Screener returned no historical P/E observations for HAWKINCOOK.NS,2026-07-24T14:01:55.025194+00:00
HCL-INSYS.NS,ScreenerDataError,Screener returned no historical P/E observations for HCL-INSYS.NS,2026-07-24T15:43:05.103632+00:00
HECPROJECT.NS,ScreenerDataError,Screener returned no historical P/E observations for HECPROJECT.NS,2026-07-24T16:19:34.954421+00:00
HEIDELBERG.NS,ScreenerDataError,Screener returned no historical P/E observations for HEIDELBERG.NS,2026-07-24T14:06:24.731830+00:00
HEMIPROP.NS,ScreenerDataError,Screener returned no historical P/E observations for HEMIPROP.NS,2026-07-24T14:04:59.626978+00:00
HISARMETAL.NS,ScreenerDataError,Screener returned no historical P/E observations for HISARMETAL.NS,2026-07-24T16:22:13.366209+00:00
HOMEFIRST.NS,ScreenerDataError,Screener returned no historical P/E observations for HOMEFIRST.NS,2026-07-24T13:49:15.323346+00:00
HONAUT.NS,ScreenerDataError,Screener returned no historical P/E observations for HONAUT.NS,2026-07-24T13:40:02.968786+00:00
HONDAPOWER.NS,ScreenerDataError,Screener returned no historical P/E observations for HONDAPOWER.NS,2026-07-24T14:34:04.960024+00:00
ICICIGI.NS,ScreenerDataError,Screener returned no historical P/E observations for ICICIGI.NS,2026-07-24T13:35:19.203654+00:00
IGARASHI.NS,ScreenerDataError,Screener returned no historical P/E observations for IGARASHI.NS,2026-07-24T14:52:25.438171+00:00
INCREDIBLE.NS,ScreenerDataError,Screener returned no historical P/E observations for INCREDIBLE.NS,2026-07-24T16:18:09.664997+00:00
INDBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for INDBANK.NS,2026-07-24T16:18:37.305148+00:00
INDIANHUME.NS,ScreenerDataError,Screener returned no historical P/E observations for INDIANHUME.NS,2026-07-24T14:34:22.432862+00:00
INDIQUBE.NS,ScreenerDataError,Screener returned no historical P/E observations for INDIQUBE.NS,2026-07-24T14:06:33.132656+00:00
INDRAMEDCO.NS,ScreenerDataError,Screener returned no historical P/E observations for INDRAMEDCO.NS,2026-07-24T14:07:08.935410+00:00
INDTERRAIN.NS,ScreenerDataError,Screener returned no historical P/E observations for INDTERRAIN.NS,2026-07-24T16:18:15.931064+00:00
INFOMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for INFOMEDIA.NS,2026-07-24T16:25:30.814632+00:00
INGERRAND.NS,ScreenerDataError,Screener returned no historical P/E observations for INGERRAND.NS,2026-07-24T13:48:10.233200+00:00
INTERARCH.NS,ScreenerDataError,Screener returned no historical P/E observations for INTERARCH.NS,2026-07-24T14:11:48.332186+00:00
IRFC.NS,ScreenerDataError,Screener returned no historical P/E observations for IRFC.NS,2026-07-24T13:33:31.866090+00:00
IRISDOREME.NS,ScreenerDataError,Screener returned no historical P/E observations for IRISDOREME.NS,2026-07-24T15:29:01.434427+00:00
ISHANCH.NS,ScreenerDataError,Screener returned no historical P/E observations for ISHANCH.NS,2026-07-24T16:18:43.741785+00:00
JAGSNPHARM.NS,ScreenerDataError,Screener returned no historical P/E observations for JAGSNPHARM.NS,2026-07-24T14:52:14.607816+00:00
JAYNECOIND.NS,ScreenerDataError,Screener returned no historical P/E observations for JAYNECOIND.NS,2026-07-24T13:54:08.449016+00:00
JISLDVREQS.NS,ScreenerDataError,Screener returned no historical P/E observations for JISLDVREQS.NS,2026-07-24T14:37:51.332633+00:00
JSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for JSFB.NS,2026-07-24T14:00:51.798908+00:00
KALYANIFRG.NS,ScreenerDataError,Screener returned no historical P/E observations for KALYANIFRG.NS,2026-07-24T16:15:53.979896+00:00
KARMAENG.NS,ScreenerDataError,Screener returned no historical P/E observations for KARMAENG.NS,2026-07-24T16:24:20.327207+00:00
KARURVYSYA.NS,ScreenerDataError,Screener returned no historical P/E observations for KARURVYSYA.NS,2026-07-24T13:41:06.444307+00:00
KEEPLEARN.NS,ScreenerDataError,Screener returned no historical P/E observations for KEEPLEARN.NS,2026-07-24T16:25:24.948790+00:00
KINGFA.NS,ScreenerDataError,Screener returned no historical P/E observations for KINGFA.NS,2026-07-24T13:57:15.515181+00:00
KIOCL.NS,ScreenerDataError,Screener returned no historical P/E observations for KIOCL.NS,2026-07-24T13:43:10.216169+00:00
KREBSBIO.NS,ScreenerDataError,Screener returned no historical P/E observations for KREBSBIO.NS,2026-07-24T16:20:17.865853+00:00
KRISHANA.NS,ScreenerDataError,Screener returned no historical P/E observations for KRISHANA.NS,2026-07-24T14:03:18.498827+00:00
KRITIKA.NS,ScreenerDataError,Screener returned no historical P/E observations for KRITIKA.NS,2026-07-24T16:18:32.331983+00:00
KRONOX.NS,ScreenerDataError,Screener returned no historical P/E observations for KRONOX.NS,2026-07-24T15:32:30.454030+00:00
KROSS.NS,ScreenerDataError,Screener returned no historical P/E observations for KROSS.NS,2026-07-24T14:54:54.865851+00:00
KSHINTL.NS,ScreenerDataError,Screener returned no historical P/E observations for KSHINTL.NS,2026-07-24T13:59:37.308454+00:00
KSR.NS,ScreenerDataError,Screener returned no historical P/E observations for KSR.NS,2026-07-24T16:23:30.181694+00:00
KUANTUM.NS,ScreenerDataError,Screener returned no historical P/E observations for KUANTUM.NS,2026-07-24T15:31:14.746577+00:00
KWIL.NS,ScreenerDataError,Screener returned no historical P/E observations for KWIL.NS,2026-07-24T13:55:49.444633+00:00
LAGNAM.NS,ScreenerDataError,Screener returned no historical P/E observations for LAGNAM.NS,2026-07-24T16:18:09.453178+00:00
LAL.NS,ScreenerDataError,Screener returned no historical P/E observations for LAL.NS,2026-07-24T16:18:35.004228+00:00
LAMBODHARA.NS,ScreenerDataError,Screener returned no historical P/E observations for LAMBODHARA.NS,2026-07-24T16:20:08.933626+00:00
LAOPALA.NS,ScreenerDataError,Screener returned no historical P/E observations for LAOPALA.NS,2026-07-24T14:34:27.960072+00:00
LASA.NS,ScreenerDataError,Screener returned no historical P/E observations for LASA.NS,2026-07-24T16:24:52.206924+00:00
LEXUS.NS,ScreenerDataError,Screener returned no historical P/E observations for LEXUS.NS,2026-07-24T16:25:07.703955+00:00
LFIC.NS,ScreenerDataError,Screener returned no historical P/E observations for LFIC.NS,2026-07-24T16:24:27.443739+00:00
LGEINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for LGEINDIA.NS,2026-07-24T13:34:04.713554+00:00
LORDSCHLO.NS,ScreenerDataError,Screener returned no historical P/E observations for LORDSCHLO.NS,2026-07-24T15:42:27.553916+00:00
LOTUSEYE.NS,ScreenerDataError,Screener returned no historical P/E observations for LOTUSEYE.NS,2026-07-24T16:14:56.665984+00:00
LOVABLE.NS,ScreenerDataError,Screener returned no historical P/E observations for LOVABLE.NS,2026-07-24T16:20:37.148096+00:00
LPDC.NS,ScreenerDataError,Screener returned no historical P/E observations for LPDC.NS,2026-07-24T16:22:03.855108+00:00
MAANALU.NS,ScreenerDataError,Screener returned no historical P/E observations for MAANALU.NS,2026-07-24T15:30:45.039590+00:00
MACPOWER.NS,ScreenerDataError,Screener returned no historical P/E observations for MACPOWER.NS,2026-07-24T14:53:51.890811+00:00
MADRASFERT.NS,ScreenerDataError,Screener returned no historical P/E observations for MADRASFERT.NS,2026-07-24T14:56:22.547122+00:00
MAGADSUGAR.NS,ScreenerDataError,Screener returned no historical P/E observations for MAGADSUGAR.NS,2026-07-24T15:30:37.312553+00:00
MAHSCOOTER.NS,ScreenerDataError,Screener returned no historical P/E observations for MAHSCOOTER.NS,2026-07-24T13:47:53.521680+00:00
MALUPAPER.NS,ScreenerDataError,Screener returned no historical P/E observations for MALUPAPER.NS,2026-07-24T16:23:44.844802+00:00
MANAKALUCO.NS,ScreenerDataError,Screener returned no historical P/E observations for MANAKALUCO.NS,2026-07-24T16:15:20.278636+00:00
MANBA.NS,ScreenerDataError,Screener returned no historical P/E observations for MANBA.NS,2026-07-24T15:30:56.417348+00:00
MANGLMCEM.NS,ScreenerDataError,Screener returned no historical P/E observations for MANGLMCEM.NS,2026-07-24T14:14:17.127996+00:00
MANOMAY.NS,ScreenerDataError,Screener returned no historical P/E observations for MANOMAY.NS,2026-07-24T15:43:53.821212+00:00
MBAPL.NS,ScreenerDataError,Screener returned no historical P/E observations for MBAPL.NS,2026-07-24T13:59:10.832173+00:00
MCL.NS,ScreenerDataError,Screener returned no historical P/E observations for MCL.NS,2026-07-24T16:18:48.541247+00:00
MEDICO.NS,ScreenerDataError,Screener returned no historical P/E observations for MEDICO.NS,2026-07-24T15:44:25.211242+00:00
MEESHO.NS,ScreenerDataError,Screener returned no historical P/E observations for MEESHO.NS,2026-07-24T13:34:59.493628+00:00
MKPL.NS,ScreenerDataError,Screener returned no historical P/E observations for MKPL.NS,2026-07-24T16:17:39.753678+00:00
MODTHREAD.NS,ScreenerDataError,Screener returned no historical P/E observations for MODTHREAD.NS,2026-07-24T16:17:46.641361+00:00
MOKSH.NS,ScreenerDataError,Screener returned no historical P/E observations for MOKSH.NS,2026-07-24T16:21:29.752706+00:00
MONEYBOXX.NS,ScreenerDataError,Screener returned no historical P/E observations for MONEYBOXX.NS,2026-07-24T15:42:25.231450+00:00
MOTISONS.NS,ScreenerDataError,Screener returned no historical P/E observations for MOTISONS.NS,2026-07-24T14:38:05.761209+00:00
MSUMI.NS,ScreenerDataError,Screener returned no historical P/E observations for MSUMI.NS,2026-07-24T13:42:05.171803+00:00
MTNL.NS,ScreenerDataError,Screener returned no historical P/E observations for MTNL.NS,2026-07-24T14:36:34.220056+00:00
MUNJALSHOW.NS,ScreenerDataError,Screener returned no historical P/E observations for MUNJALSHOW.NS,2026-07-24T15:32:44.839635+00:00
MUTHOOTCAP.NS,ScreenerDataError,Screener returned no historical P/E observations for MUTHOOTCAP.NS,2026-07-24T15:43:30.451083+00:00
MUTHOOTMF.NS,ScreenerDataError,Screener returned no historical P/E observations for MUTHOOTMF.NS,2026-07-24T14:04:28.293898+00:00
MVGJL.NS,ScreenerDataError,Screener returned no historical P/E observations for MVGJL.NS,2026-07-24T15:29:39.560213+00:00
NAGREEKEXP.NS,ScreenerDataError,Screener returned no historical P/E observations for NAGREEKEXP.NS,2026-07-24T16:22:33.014242+00:00
NARMADA.NS,ScreenerDataError,Screener returned no historical P/E observations for NARMADA.NS,2026-07-24T16:18:24.608346+00:00
NATIONSTD.NS,ScreenerDataError,Screener returned no historical P/E observations for NATIONSTD.NS,2026-07-24T16:28:35.347803+00:00
NDL.NS,ScreenerDataError,Screener returned no historical P/E observations for NDL.NS,2026-07-24T15:43:58.883431+00:00
NETWEB.NS,ScreenerDataError,Screener returned no historical P/E observations for NETWEB.NS,2026-07-24T13:42:31.737689+00:00
NEXTMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for NEXTMEDIA.NS,2026-07-24T16:25:34.722320+00:00
NIBL.NS,ScreenerDataError,Screener returned no historical P/E observations for NIBL.NS,2026-07-24T16:22:09.285779+00:00
