symbol,error_type,reason,failed_at
AAATECH.NS,ScreenerDataError,Screener returned no historical P/E observations for AAATECH.NS,2026-09-02T00:55:51.383659+00:00
AAREYDRUGS.NS,ScreenerDataError,Screener returned no historical P/E observations for AAREYDRUGS.NS,2026-09-02T00:48:23.163713+00:00
AARON.NS,ScreenerDataError,Screener returned no historical P/E observations for AARON.NS,2026-09-02T00:48:46.431801+00:00
AASTHA.NS,ScreenerDataError,Screener returned no historical P/E observations for AASTHA.NS,2026-09-02T01:03:45.407702+00:00
ABBOTINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for ABBOTINDIA.NS,2026-09-01T23:47:17.073758+00:00
ACGL.NS,ScreenerDataError,Screener returned no historical P/E observations for ACGL.NS,2026-09-02T01:03:50.404546+00:00
ACL.NS,ScreenerDataError,Screener returned no historical P/E observations for ACL.NS,2026-09-02T00:45:27.200708+00:00
ADL.NS,ScreenerDataError,Screener returned no historical P/E observations for ADL.NS,2026-09-02T01:01:01.761317+00:00
ADVANIHOTR.NS,ScreenerDataError,Screener returned no historical P/E observations for ADVANIHOTR.NS,2026-09-02T00:44:06.144617+00:00
AEQUS.NS,ScreenerDataError,Screener returned no historical P/E observations for AEQUS.NS,2026-09-01T23:56:48.826091+00:00
AFIL.NS,ScreenerDataError,Screener returned no historical P/E observations for AFIL.NS,2026-09-02T00:45:44.519055+00:00
AGL.NS,ScreenerDataError,Screener returned no historical P/E observations for AGL.NS,2026-09-02T00:30:36.644281+00:00
AGRITECH.NS,ScreenerDataError,Screener returned no historical P/E observations for AGRITECH.NS,2026-09-02T00:59:26.332448+00:00
AHLADA.NS,ScreenerDataError,Screener returned no historical P/E observations for AHLADA.NS,2026-09-02T01:00:10.892039+00:00
AJAXENGG.NS,ScreenerDataError,Screener returned no historical P/E observations for AJAXENGG.NS,2026-09-02T00:08:10.606028+00:00
AJOONI.NS,ScreenerDataError,Screener returned no historical P/E observations for AJOONI.NS,2026-09-02T00:59:14.077285+00:00
AKSHAR.NS,ScreenerDataError,Screener returned no historical P/E observations for AKSHAR.NS,2026-09-02T01:01:37.720986+00:00
ALBERTDAVD.NS,ScreenerDataError,Screener returned no historical P/E observations for ALBERTDAVD.NS,2026-09-02T00:43:15.663026+00:00
ALOKINDS.NS,ScreenerDataError,Screener returned no historical P/E observations for ALOKINDS.NS,2026-09-02T00:12:57.369701+00:00
AMBICAAGAR.NS,ScreenerDataError,Screener returned no historical P/E observations for AMBICAAGAR.NS,2026-09-02T01:00:54.781759+00:00
AMBIKCO.NS,ScreenerDataError,Screener returned no historical P/E observations for AMBIKCO.NS,2026-09-02T00:36:20.982357+00:00
AMDIND.NS,ScreenerDataError,Screener returned no historical P/E observations for AMDIND.NS,2026-09-02T00:57:11.820998+00:00
