symbol,screener_company_id,statement_type,financial_reporting_date,pe_average_3y,pe_median_3y,pe_average_5y,pe_median_5y,pe_average_10y,pe_median_10y,sales_growth_3y,sales_growth_5y,sales_growth_10y,profit_growth_3y,profit_growth_5y,profit_growth_10y,eps_growth_3y,eps_growth_5y,eps_growth_10y,debt_to_equity,roe,opm,source_url,refreshed_at
CGCL.NS,2116,consolidated,2026-03-31,44.2363,36.6,53.3333,60.5,41.6002,34.1,48.0,40.0,36.0,67.0,13.0,38.0,58.41941724219868,35.608743197192005,33.955362675377444,,16.5,,https://www.screener.in/company/CGCL/consolidated/,2026-08-23T18:06:55.829859+00:00
CGPOWER.NS,739,consolidated,2026-03-31,102.0032,103.6,81.8962,81.3,79.7165,80.15,21.0,70.0,37.0,10.0,60.0,26.0,6.732350417634181,-4.573129284315291,,0.0148055207026348,20.5,13.0,https://www.screener.in/company/CGPOWER/consolidated/,2026-08-23T18:06:55.829859+00:00
CHALET.NS,1274626,consolidated,2026-03-31,100.0057,69.4,108.4617,72.2,113.2556,73.6,35.0,47.0,23.0,60.0,39.0,,48.80987135318853,,,0.6403461330448891,19.2,45.0,https://www.screener.in/company/CHALET/consolidated/,2026-08-23T18:06:55.829859+00:00
CHAMBLFERT.NS,620,consolidated,2026-03-31,12.2879,12.3,11.4192,11.0,11.6795,11.2,-9.0,6.0,22.0,24.0,5.0,20.0,25.19272751169204,4.165394804085998,24.82366145095052,0.1026133743274404,20.0,14.0,https://www.screener.in/company/CHAMBLFERT/consolidated/,2026-08-23T18:06:55.829859+00:00
CHEMPLASTS.NS,634,consolidated,2026-03-31,71.3674,16.9,71.3674,16.9,71.3674,16.9,-5.0,,,,-20.0,,,,,1.112250712250712,-6.8,1.6,https://www.screener.in/company/CHEMPLASTS/consolidated/,2026-08-23T18:06:55.829859+00:00
CHENNPETRO.NS,636,consolidated,2026-03-31,8.1369,5.45,5.7363,4.3,5.7912,5.2,-6.0,64.0,15.0,-5.0,68.0,17.0,-4.223792581164632,64.53341888496962,15.08145986881415,0.1767935907822486,31.8,8.0,https://www.screener.in/company/CHENNPETRO/consolidated/,2026-08-23T18:06:55.829859+00:00
CHOICEIN.NS,644,consolidated,2026-03-31,69.1019,68.8,58.6464,58.5,40.396,31.9,42.0,67.0,48.0,54.0,93.0,54.0,47.89808142810295,52.8768552150815,27.50863930617189,0.5430622009569378,16.1,35.0,https://www.screener.in/company/CHOICEIN/consolidated/,2026-08-23T18:06:55.829859+00:00
CHOLAFIN.NS,648,consolidated,2026-03-31,30.2293,30.1,29.7195,29.9,26.0326,26.05,34.0,28.0,25.0,25.0,30.0,24.0,23.730099533417672,27.051277631323316,23.633489818702596,,19.4,,https://www.screener.in/company/CHOLAFIN/consolidated/,2026-08-23T18:06:55.829859+00:00
CHOLAHLDNG.NS,3489,consolidated,2026-03-31,14.4089,14.4,13.8111,13.6,14.8542,14.7,29.0,24.0,15.0,24.0,19.0,15.0,23.68554201792432,24.23475589865025,8.890968175872116,,17.5,,https://www.screener.in/company/CHOLAHLDNG/consolidated/,2026-08-23T18:06:55.829859+00:00
CIEINDIA.NS,1975,consolidated,2026-06-30,21.9261,21.4,21.4659,21.2,29.7738,22.65,2.0,54.0,21.0,127.0,13.0,8.0,,50.68481288759956,,0.0662533901588531,11.8,15.0,https://www.screener.in/company/CIEINDIA/consolidated/,2026-08-23T18:06:55.829859+00:00
CIFL.NS,473,consolidated,2026-03-31,194.548,163.8,85.9969,61.4,80.5605,56.8,-7.0,,,-14.0,-2.0,24.0,,32.47442178663312,,,-8.63,,https://www.screener.in/company/CIFL/consolidated/,2026-08-23T18:06:55.829859+00:00
CINELINE.NS,658,consolidated,2025-03-31,35.3309,35.55,35.3309,35.55,20.1941,11.7,67.0,2.0,,31.0,2.0,3.0,,,,0.7412587412587412,5.66,19.0,https://www.screener.in/company/CINELINE/consolidated/,2026-08-23T18:06:55.829859+00:00
CINEVISTA.NS,660,consolidated,2026-03-31,14.4588,14.5,14.4588,14.5,535.9821,605.0,211.0,32.0,65.0,30.0,2.0,5.0,,,59.415515004501465,0.2712822324267043,11.4,41.71,https://www.screener.in/company/CINEVISTA/consolidated/,2026-08-23T18:06:55.829859+00:00
CIPLA.NS,661,consolidated,2026-03-31,26.249,26.6,27.749,28.1,31.631,29.7,7.0,10.0,11.0,10.0,9.0,10.0,11.426677418906303,9.997522441469364,10.988126314712732,0.0178322490706319,11.6,19.0,https://www.screener.in/company/CIPLA/consolidated/,2026-08-23T18:06:55.829859+00:00
