symbol,company_name,market_cap,pe,forward_pe,eps,sector,industry,revenue_growth,earnings_growth
TECHM.NS,Tech Mahindra Limited,1393309908992.0,27.17519,18.145012,57.88,,,,
BPCL.NS,Bharat Petroleum Corporation Limited,1348214194176.0,5.216564,7.7311864,60.49,,,,
PFC.NS,Power Finance Corporation Limited,1336046125056.0,5.157325,6.218916,78.5,,,,
POLYCAB.NS,Polycab India Limited,1334927818752.0,46.728184,35.04621,189.65,,,,
BRITANNIA.NS,Britannia Industries Limited,1303699652608.0,51.54762,41.77213,105.0,,,,
SIEMENS.NS,Siemens Limited,1302973775872.0,76.93019,52.938255,47.56,,,,
GROWW.NS,BILLIONBRAINS GARAGE VN L,1289705488384.0,52.86802,32.62584,3.94,,,,
UNIONBANK.NS,Union Bank of India,1285957222400.0,6.2300296,6.285746,27.04,,,,
BANKBARODA.NS,Bank of Baroda Limited,1276292235264.0,6.4304323,5.708639,38.38,,,,
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,1269043429376.0,65.35841,41.179737,135.04,,,,
TMPV.NS,Tata Motors Passenger Vehicles Limited,1235874742272.0,,6.5767426,-4.43,,,,
HDFCLIFE.NS,HDFC Life Insurance Company Limited,1224211300352.0,61.73604,47.228188,9.13,,,,
PNB.NS,Punjab National Bank,1215608520704.0,6.610625,6.3791876,16.0,,,,
LTM.NS,LTM Limited,1208257347584.0,23.095144,17.76836,176.47,,,,
ENRIN.NS,Siemens Energy India Limited,1205646000128.0,91.74796,61.87268,36.9,,,,
TATAPOWER.NS,The Tata Power Company Limited,1205441789952.0,32.27117,22.490915,11.69,,,,
BOSCHLTD.NS,Bosch Limited,1205063122944.0,43.47803,39.67179,939.67,,,,
MUTHOOTFIN.NS,Muthoot Finance Limited,1200189997056.0,11.338036,8.897984,263.67,,,,
LODHA.NS,Lodha Developers Limited,1187460415488.0,34.718163,25.092253,34.24,,,,
GMRAIRPORT.NS,GMR Airports Limited,1167189213184.0,850.30774,76.5645,0.13,,,,
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,1157229969408.0,12.0048485,,866.15,,,,
IRFC.NS,Indian Railway Finance Corporation Limited,1155386703872.0,16.494404,12.110959,5.36,,,,
CIPLA.NS,Cipla Limited,1146090160128.0,29.587069,22.34933,47.95,,,,
ZYDUSLIFE.NS,Zydus Lifesciences Limited,1140845051904.0,22.8329,24.254805,50.09,,,,
HDFCAMC.NS,HDFC Asset Management Company Limited,1136445489152.0,38.607834,30.152006,68.67,,,,
CANBK.NS,Canara Bank,1133922091008.0,5.7528763,5.3741484,21.73,,,,
GAIL.NS,GAIL (India) Limited,1125653544960.0,14.861111,9.590602,11.52,,,,
GVT&D.NS,GE Vernova T&D India Ltd,1123378528256.0,90.91173,54.946426,48.26,,,,
INDIANB.NS,Indian Bank,1121212825600.0,8.772263,7.6211,94.89,,,,
LUPIN.NS,Lupin Limited,1117116301312.0,20.964476,23.883606,116.54,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,1098567057408.0,28.159185,16.411982,14.26,,,,
GODREJCP.NS,Godrej Consumer Products Limited,1096880619520.0,58.83096,39.261265,18.22,,,,
MARICO.NS,Marico Limited,1093726961664.0,62.10449,44.312973,13.59,,,,
AMBUJACEM.NS,Ambuja Cements Limited,1089592295424.0,23.042564,28.32466,19.03,,,,
TATACONSUM.NS,Tata Consumer Products Limited,1077335097344.0,69.916504,45.471653,15.57,,,,
LGEINDIA.NS,LG ELECTRONICS INDIA LTD,1073682251776.0,63.705196,40.648926,24.83,,,,
